principal,visible_total,zoom,tiles,offset,cells_per_tile,cells_evaluated,cells_emitted,underlay_us,total_us,us_per_cell_evaluated
medium,19327,2,1,0,1,0,0,0,55,
medium,19327,2,1,1,4,4,4,0,47,0.0000
medium,19327,2,1,2,16,16,9,3,53,0.1875
medium,19327,2,1,3,64,64,25,12,111,0.1875
medium,19327,2,1,4,256,256,58,44,104,0.1719
medium,19327,4,1,0,1,0,0,0,50,
medium,19327,4,1,1,4,4,4,0,30,0.0000
medium,19327,4,1,2,16,16,15,2,28,0.1250
medium,19327,4,1,3,64,64,49,11,47,0.1719
medium,19327,4,1,4,256,256,145,27,73,0.1055
medium,19327,6,1,0,1,0,0,0,3,
medium,19327,6,1,1,4,4,4,0,3,0.0000
medium,19327,6,1,2,16,16,10,1,5,0.0625
medium,19327,6,1,3,64,64,18,6,10,0.0938
medium,19327,6,1,4,256,256,24,22,25,0.0859
everything,53300931,2,1,0,1,0,0,0,7976,
everything,53300931,2,1,1,4,4,4,19,8062,4.7500
everything,53300931,2,1,2,16,16,16,61,8209,3.8125
everything,53300931,2,1,3,64,64,64,186,8166,2.9062
everything,53300931,2,1,4,256,256,256,662,8755,2.5859
everything,53300931,4,1,0,1,0,0,0,643,
everything,53300931,4,1,1,4,4,4,8,624,2.0000
everything,53300931,4,1,2,16,16,16,29,646,1.8125
everything,53300931,4,1,3,64,64,63,112,762,1.7500
everything,53300931,4,1,4,256,256,247,424,1054,1.6562
everything,53300931,6,1,0,1,0,0,0,171,
everything,53300931,6,1,1,4,4,4,5,173,1.2500
everything,53300931,6,1,2,16,16,16,26,198,1.6250
everything,53300931,6,1,3,64,64,60,94,269,1.4688
everything,53300931,6,1,4,256,256,182,293,507,1.1445

principal,visible_total,depth,tiles,offset,cells_per_tile,total_cells_evaluated,total_cells_emitted,underlay_us,total_us
medium,19327,5,1024,0,1,0,0,0,2189
medium,19327,5,1024,2,16,2112,787,333,1402
medium,19327,5,1024,3,64,8448,1813,974,2806
medium,19327,5,1024,4,256,33792,3652,5760,7379
medium,19327,5,1024,5,1024,135168,6361,12113,14699
medium,19327,6,4096,0,1,0,0,0,2676
medium,19327,6,4096,2,16,5200,1813,1105,2010
medium,19327,6,4096,3,64,20800,3652,2733,1895
medium,19327,6,4096,4,256,83200,6361,7010,2349
medium,19327,6,4096,5,1024,332800,9908,20980,4116
medium,19327,7,16384,0,1,0,0,0,5880
medium,19327,7,16384,2,16,12592,3652,1970,5204
medium,19327,7,16384,3,64,50368,6361,5566,5273
medium,19327,7,16384,4,256,201472,9908,13222,6106
medium,19327,7,16384,5,1024,805888,13601,40680,8580
everything,53300931,5,1024,0,1,0,0,0,199421
everything,53300931,5,1024,2,16,13760,11611,26554,222369
everything,53300931,5,1024,3,64,55040,42495,89645,286780
everything,53300931,5,1024,4,256,220160,154196,303941,500961
everything,53300931,5,1024,5,1024,880640,551607,1026307,1237469
everything,53300931,6,4096,0,1,0,0,0,36764
everything,53300931,6,4096,2,16,50544,42495,126182,43369
everything,53300931,6,4096,3,64,202176,154196,422580,69483
everything,53300931,6,4096,4,256,808704,551607,1454069,160410
everything,53300931,6,4096,5,1024,3234816,1866807,4867770,445100
everything,53300931,7,16384,0,1,0,0,0,57656
everything,53300931,7,16384,2,16,185776,154196,374197,90492
everything,53300931,7,16384,3,64,743104,551607,1310149,179942
everything,53300931,7,16384,4,256,2972416,1866807,4687691,492494
everything,53300931,7,16384,5,1024,11889664,5404284,15453157,1414629
