principal,terms,visible_total,fraction,depth,tiles_resolved,tiles_nonempty,sigma_visible,points_gathered,server_us,count_us,select_us,gather_us,refused
narrow,1,1366,1,0,1,1,1366,14,100,0,31,0,
narrow,1,1366,1,1,4,4,1366,76,114,0,36,3,
narrow,1,1366,1,2,16,10,1366,257,354,1,41,11,
narrow,1,1366,1,3,64,23,1366,1001,933,2,53,41,
narrow,1,1366,1,4,256,42,1366,1366,1449,5,67,88,
narrow,1,1366,1,5,1024,91,1366,1366,1363,9,64,81,
narrow,1,1366,1,6,4096,164,1366,1366,4946,17,96,108,
narrow,1,1366,1,7,16384,289,1366,1366,18491,30,138,177,
narrow,1,1366,1,8,65536,484,1366,1366,50757,45,213,351,
narrow,1,1366,1/4,0,1,1,1366,14,178,1,81,2,
narrow,1,1366,1/4,1,4,4,1366,76,107,0,31,3,
narrow,1,1366,1/4,2,9,8,1361,254,215,1,57,12,
narrow,1,1366,1/4,3,25,21,1361,997,114,1,36,33,
narrow,1,1366,1/4,4,81,38,1358,1358,151,2,25,44,
narrow,1,1366,1/4,5,289,78,1342,1342,362,6,39,55,
narrow,1,1366,1/4,6,1089,143,1333,1333,627,9,43,52,
narrow,1,1366,1/4,7,4225,252,1293,1293,2866,25,104,128,
narrow,1,1366,1/4,8,16641,424,1256,1256,14614,41,179,267,
narrow,1,1366,1/16,0,1,1,1366,14,210,0,36,0,
narrow,1,1366,1/16,1,4,4,1366,76,108,0,32,3,
narrow,1,1366,1/16,2,4,4,1186,217,49,0,25,6,
narrow,1,1366,1/16,3,9,9,1121,813,74,1,26,25,
narrow,1,1366,1/16,4,25,13,363,363,42,0,6,10,
narrow,1,1366,1/16,5,81,20,152,152,61,1,4,6,
narrow,1,1366,1/16,6,289,23,85,85,137,1,4,5,
narrow,1,1366,1/16,7,1089,29,59,59,351,1,5,5,
narrow,1,1366,1/16,8,4225,39,54,54,2881,4,27,17,
medium,1,21006,1,0,1,1,21006,17,236,1,164,1,
medium,1,21006,1,1,4,4,21006,55,329,1,251,4,
medium,1,21006,1,2,16,12,21006,249,306,2,256,13,
medium,1,21006,1,3,64,25,21006,1045,935,5,499,70,
medium,1,21006,1,4,256,70,21006,3840,1115,12,639,258,
medium,1,21006,1,5,1024,183,21006,12262,2600,32,834,637,
medium,1,21006,1,6,4096,444,21006,19758,6495,60,652,1010,
medium,1,21006,1,7,16384,1021,21006,21006,19538,132,853,1338,
medium,1,21006,1,8,65536,2278,21006,21006,52399,250,1284,2117,
medium,1,21006,1/4,0,1,1,21006,17,296,1,169,1,
medium,1,21006,1/4,1,4,4,21006,55,568,2,368,6,
medium,1,21006,1/4,2,9,7,20788,239,457,2,301,17,
medium,1,21006,1/4,3,25,17,20788,1029,451,3,365,35,
medium,1,21006,1/4,4,81,53,20780,3776,759,7,515,134,
medium,1,21006,1/4,5,289,154,20538,11883,1225,16,574,289,
medium,1,21006,1/4,6,1089,395,20486,19238,2148,38,516,515,
medium,1,21006,1/4,7,4225,953,20454,20454,5604,114,757,1373,
medium,1,21006,1/4,8,16641,2190,20386,20386,13714,249,1079,1508,
medium,1,21006,1/16,0,1,1,21006,17,289,1,168,1,
medium,1,21006,1/16,1,4,4,21006,55,362,1,254,3,
medium,1,21006,1/16,2,4,4,20386,231,284,1,254,10,
medium,1,21006,1/16,3,9,9,10561,526,282,2,243,19,
medium,1,21006,1/16,4,25,24,10192,2053,375,3,264,57,
medium,1,21006,1/16,5,81,73,9317,6308,508,8,259,151,
medium,1,21006,1/16,6,289,201,9264,8944,626,19,186,209,
medium,1,21006,1/16,7,1089,515,9209,9209,918,43,229,239,
medium,1,21006,1/16,8,4225,1196,9115,9115,2774,127,479,575,
broad,1,42025228,1,0,1,1,42025228,14,244073,206,242430,10,
broad,1,42025228,1,1,4,4,42025228,67,242037,217,241634,38,
broad,1,42025228,1,2,16,16,42025228,263,163525,294,292323,151,
broad,1,42025228,1,3,64,64,42025228,982,78566,563,441574,595,
broad,1,42025228,1,4,256,256,42025228,4106,66768,1150,699950,2305,
broad,1,42025228,1,5,1024,1022,42025228,16704,100071,2280,897687,10366,
broad,1,42025228,1,6,4096,4054,42025228,67169,96338,6431,833821,26155,
broad,1,42025228,1,7,16384,16008,42025228,265270,126171,26429,903907,54771,
broad,1,42025228,1,8,65536,62349,42025228,1009730,189825,59855,1086025,133377,
broad,1,42025228,1/4,0,1,1,42025228,14,240970,199,240638,9,
broad,1,42025228,1/4,1,4,4,42025228,67,242352,253,240089,41,
broad,1,42025228,1/4,2,9,9,24815103,167,145850,150,145578,87,
broad,1,42025228,1/4,3,25,25,17578273,401,107183,124,106154,145,
broad,1,42025228,1/4,4,81,81,13890192,1346,94260,199,92573,365,
broad,1,42025228,1/4,5,289,289,13080106,5153,110954,497,111794,1201,
broad,1,42025228,1/4,6,1089,1088,12600816,19923,144119,1360,137285,3248,
broad,1,42025228,1/4,7,4225,4188,12359493,78225,35149,5382,284577,18149,
broad,1,42025228,1/4,8,16641,16268,12210096,297532,53099,21467,340763,42420,
broad,1,42025228,1/16,0,1,1,42025228,14,243850,201,243206,10,
broad,1,42025228,1/16,1,4,4,42025228,67,240760,255,239768,59,
broad,1,42025228,1/16,2,4,4,12008665,88,71036,73,71044,39,
broad,1,42025228,1/16,3,9,9,6061574,134,36072,38,35751,46,
broad,1,42025228,1/16,4,25,25,3919734,376,25059,49,25070,103,
broad,1,42025228,1/16,5,81,81,2704397,1114,22548,110,21919,232,
broad,1,42025228,1/16,6,289,289,2355521,3839,29323,329,27776,632,
broad,1,42025228,1/16,7,1089,1084,2127221,13829,43919,1092,42248,1727,
broad,1,42025228,1/16,8,4225,4133,2046144,52627,10624,3753,58702,6007,
everything,201,518502081,1,0,1,1,518502081,21,1270181,199,1266333,13,
everything,201,518502081,1,1,4,4,518502081,72,1306551,173,1306163,46,
everything,201,518502081,1,2,16,16,518502081,269,793642,246,1331236,169,
everything,201,518502081,1,3,64,64,518502081,1104,247350,486,1646868,615,
everything,201,518502081,1,4,256,256,518502081,4227,202439,1593,2082918,2612,
everything,201,518502081,1,5,1024,1024,518502081,16837,199590,4560,2216286,8878,
everything,201,518502081,1,6,4096,4094,518502081,66398,227271,14460,2463114,25371,
everything,201,518502081,1,7,16384,16371,518502081,264077,410549,58203,4347557,78432,
everything,201,518502081,1,8,65536,65430,518502081,1040729,820083,233062,7602653,536486,
everything,201,518502081,1/4,0,1,1,518502081,21,2894867,530,2981343,13,
everything,201,518502081,1/4,1,4,4,518502081,72,1324460,183,1286499,43,
everything,201,518502081,1/4,2,9,9,304572549,152,755685,126,753454,93,
everything,201,518502081,1/4,3,25,25,206701348,434,516779,166,516185,197,
everything,201,518502081,1/4,4,81,81,169308001,1371,434410,265,428499,471,
everything,201,518502081,1/4,5,289,289,159537566,5191,440778,745,437813,1265,
everything,201,518502081,1/4,6,1089,1089,153858546,19768,526646,2439,508180,3767,
everything,201,518502081,1/4,7,4225,4225,151006898,76927,85325,11364,885352,15242,
everything,201,518502081,1/4,8,16641,16640,149661764,304238,164988,38270,1481177,38877,
everything,201,518502081,1/16,0,1,1,518502081,21,1281850,152,1274651,13,
everything,201,518502081,1/16,1,4,4,518502081,72,1268622,196,1267189,43,
everything,201,518502081,1/16,2,4,4,148045597,64,364276,66,364118,33,
everything,201,518502081,1/16,3,9,9,71558747,135,176397,53,176317,59,
everything,201,518502081,1/16,4,25,25,42955567,333,109625,74,109661,109,
everything,201,518502081,1/16,5,81,81,30068490,965,85581,197,84882,238,
everything,201,518502081,1/16,6,289,289,25493481,3302,96230,613,93541,650,
everything,201,518502081,1/16,7,1089,1089,23228418,12016,146253,2106,140901,1756,
everything,201,518502081,1/16,8,4225,4225,22235572,46265,29749,8048,268177,5250,
