n,presence,layout,present_entities,addressing_bytes,values_bytes,addressing_bytes_per_present,candidate,scan_ms,hits
100000000,all,bare,100000000,0,400000000,0.0000,sparse-contiguous-1pct,2.56,1007
100000000,all,bare,100000000,0,400000000,0.0000,broad-25pct,74.30,24952
100000000,all,bare,100000000,0,400000000,0.0000,sparse-scattered-1pct,24.13,1015
100000000,all,pairs,100000000,400000000,400000000,4.0000,sparse-contiguous-1pct,28.47,1007
100000000,all,pairs,100000000,400000000,400000000,4.0000,broad-25pct,99.71,24952
100000000,all,pairs,100000000,400000000,400000000,4.0000,sparse-scattered-1pct,149.29,1015
100000000,all,roaring,100000000,21559,400000000,0.0002,sparse-contiguous-1pct,109.08,1007
100000000,all,roaring,100000000,21559,400000000,0.0002,broad-25pct,164.54,24952
100000000,all,roaring,100000000,21559,400000000,0.0002,sparse-scattered-1pct,386.54,1015
100000000,all,runs,100000000,12,400000000,0.0000,sparse-contiguous-1pct,3.29,1007
100000000,all,runs,100000000,12,400000000,0.0000,broad-25pct,96.05,24952
100000000,all,runs,100000000,12,400000000,0.0000,sparse-scattered-1pct,23.70,1015
100000000,slices-10,pairs,10000000,40000000,40000000,4.0000,sparse-contiguous-1pct,5.34,85
100000000,slices-10,pairs,10000000,40000000,40000000,4.0000,broad-25pct,79.06,2497
100000000,slices-10,pairs,10000000,40000000,40000000,4.0000,sparse-scattered-1pct,17.78,85
100000000,slices-10,roaring,10000000,3564,40000000,0.0004,sparse-contiguous-1pct,10.27,85
100000000,slices-10,roaring,10000000,3564,40000000,0.0004,broad-25pct,16.41,2497
100000000,slices-10,roaring,10000000,3564,40000000,0.0004,sparse-scattered-1pct,38.31,85
100000000,slices-10,runs,10000000,1200,40000000,0.0001,sparse-contiguous-1pct,9.39,85
100000000,slices-10,runs,10000000,1200,40000000,0.0001,broad-25pct,211.91,2497
100000000,slices-10,runs,10000000,1200,40000000,0.0001,sparse-scattered-1pct,12.51,85
100000000,scattered-10pct,pairs,10003111,40012444,40012444,4.0000,sparse-contiguous-1pct,7.06,103
100000000,scattered-10pct,pairs,10003111,40012444,40012444,4.0000,broad-25pct,87.89,2530
100000000,scattered-10pct,pairs,10003111,40012444,40012444,4.0000,sparse-scattered-1pct,20.15,110
100000000,scattered-10pct,roaring,10003111,12513208,40012444,1.2509,sparse-contiguous-1pct,16.53,103
100000000,scattered-10pct,roaring,10003111,12513208,40012444,1.2509,broad-25pct,24.21,2530
100000000,scattered-10pct,roaring,10003111,12513208,40012444,1.2509,sparse-scattered-1pct,57.13,110
100000000,scattered-10pct,runs,10003111,108027156,40012444,10.7994,sparse-contiguous-1pct,33.89,103
100000000,scattered-10pct,runs,10003111,108027156,40012444,10.7994,broad-25pct,908.13,2530
100000000,scattered-10pct,runs,10003111,108027156,40012444,10.7994,sparse-scattered-1pct,58.57,110
