n,arm,needle,candidate,candidate_entities,ms,ns_per_candidate,hits
1000000000,shipped,-000,sparse-contiguous-1pct,10000000,115.635,11.56,9984
1000000000,shipped,-000,broad-25pct,250000000,3305.289,13.22,249513
1000000000,shipped,-000,sparse-scattered-1pct,10000954,1244.176,124.41,9944
1000000000,shipped,erg,sparse-contiguous-1pct,10000000,161.767,16.18,2500408
1000000000,shipped,erg,broad-25pct,250000000,5070.284,20.28,62498067
1000000000,shipped,erg,sparse-scattered-1pct,10000954,1121.165,112.11,2500224
1000000000,shipped,qzx,sparse-contiguous-1pct,10000000,94.179,9.42,0
1000000000,shipped,qzx,broad-25pct,250000000,2301.883,9.21,0
1000000000,shipped,qzx,sparse-scattered-1pct,10000954,797.322,79.72,0
1000000000,memmem-value,-000,sparse-contiguous-1pct,10000000,152.590,15.26,9984
1000000000,memmem-concat,-000,sparse-contiguous-1pct,10000000,18.138,1.81,9984
1000000000,swar-value,-000,sparse-contiguous-1pct,10000000,120.675,12.07,9984
1000000000,desc64,-000,sparse-contiguous-1pct,10000000,40.205,4.02,9984
1000000000,desc64+tri32,-000,sparse-contiguous-1pct,10000000,37.287,3.73,9984
1000000000,memmem-value,-000,broad-25pct,250000000,3956.280,15.83,249513
1000000000,memmem-concat,-000,broad-25pct,250000000,471.323,1.89,249513
1000000000,swar-value,-000,broad-25pct,250000000,3030.818,12.12,249513
1000000000,desc64,-000,broad-25pct,250000000,925.509,3.70,249513
1000000000,desc64+tri32,-000,broad-25pct,250000000,795.783,3.18,249513
1000000000,memmem-value,-000,sparse-scattered-1pct,10000954,1013.435,101.33,9944
1000000000,memmem-concat,-000,sparse-scattered-1pct,10000954,755.350,75.53,9944
1000000000,swar-value,-000,sparse-scattered-1pct,10000954,755.454,75.54,9944
1000000000,desc64,-000,sparse-scattered-1pct,10000954,323.725,32.37,9944
1000000000,desc64+tri32,-000,sparse-scattered-1pct,10000954,276.965,27.69,9944
1000000000,memmem-value,erg,sparse-contiguous-1pct,10000000,149.312,14.93,2500408
1000000000,memmem-concat,erg,sparse-contiguous-1pct,10000000,57.175,5.72,2500408
1000000000,swar-value,erg,sparse-contiguous-1pct,10000000,127.773,12.78,2500408
1000000000,desc64,erg,sparse-contiguous-1pct,10000000,129.359,12.94,2500408
1000000000,desc64+tri32,erg,sparse-contiguous-1pct,10000000,125.097,12.51,2500408
1000000000,memmem-value,erg,broad-25pct,250000000,4099.390,16.40,62498067
1000000000,memmem-concat,erg,broad-25pct,250000000,1683.273,6.73,62498067
1000000000,swar-value,erg,broad-25pct,250000000,3760.162,15.04,62498067
1000000000,desc64,erg,broad-25pct,250000000,3872.015,15.49,62498067
1000000000,desc64+tri32,erg,broad-25pct,250000000,3629.368,14.52,62498067
1000000000,memmem-value,erg,sparse-scattered-1pct,10000954,1273.567,127.34,2500224
1000000000,memmem-concat,erg,sparse-scattered-1pct,10000954,1048.469,104.84,2500224
1000000000,swar-value,erg,sparse-scattered-1pct,10000954,1118.049,111.79,2500224
1000000000,desc64,erg,sparse-scattered-1pct,10000954,989.462,98.94,2500224
1000000000,desc64+tri32,erg,sparse-scattered-1pct,10000954,907.298,90.72,2500224
1000000000,memmem-value,qzx,sparse-contiguous-1pct,10000000,151.486,15.15,0
1000000000,memmem-concat,qzx,sparse-contiguous-1pct,10000000,5.211,0.52,0
1000000000,swar-value,qzx,sparse-contiguous-1pct,10000000,84.540,8.45,0
1000000000,desc64,qzx,sparse-contiguous-1pct,10000000,79.686,7.97,0
1000000000,desc64+tri32,qzx,sparse-contiguous-1pct,10000000,61.821,6.18,0
1000000000,memmem-value,qzx,broad-25pct,250000000,3569.177,14.28,0
1000000000,memmem-concat,qzx,broad-25pct,250000000,190.246,0.76,0
1000000000,swar-value,qzx,broad-25pct,250000000,2335.352,9.34,0
1000000000,desc64,qzx,broad-25pct,250000000,2226.908,8.91,0
1000000000,desc64+tri32,qzx,broad-25pct,250000000,1698.835,6.80,0
1000000000,memmem-value,qzx,sparse-scattered-1pct,10000954,1228.663,122.85,0
1000000000,memmem-concat,qzx,sparse-scattered-1pct,10000954,729.634,72.96,0
1000000000,swar-value,qzx,sparse-scattered-1pct,10000954,757.575,75.75,0
1000000000,desc64,qzx,sparse-scattered-1pct,10000954,717.149,71.71,0
1000000000,desc64+tri32,qzx,sparse-scattered-1pct,10000954,513.177,51.31,0
