n,shape,candidate,k,form,ms,hits
1000000000,correlated,broad-25pct,5,scan,136.40,50000000
1000000000,correlated,broad-25pct,5,union-intersect,0.08,50000000
1000000000,correlated,broad-25pct,25,scan,172.99,250000000
1000000000,correlated,broad-25pct,25,union-intersect,0.50,250000000
1000000000,correlated,broad-25pct,50,scan,169.28,250000000
1000000000,correlated,broad-25pct,50,union-intersect,0.86,250000000
1000000000,correlated,broad-25pct,100,scan,169.38,250000000
1000000000,correlated,broad-25pct,100,union-intersect,1.68,250000000
1000000000,correlated,all,5,scan,484.27,50000000
1000000000,correlated,all,5,union-intersect,0.06,50000000
1000000000,correlated,all,25,scan,510.10,250000000
1000000000,correlated,all,25,union-intersect,0.52,250000000
1000000000,correlated,all,50,scan,570.42,500000000
1000000000,correlated,all,50,union-intersect,1.16,500000000
1000000000,correlated,all,100,scan,669.75,1000000000
1000000000,correlated,all,100,union-intersect,2.48,1000000000
1000000000,scattered,broad-25pct,5,scan,277.08,12502275
1000000000,scattered,broad-25pct,5,union-intersect,171.89,12502275
1000000000,scattered,broad-25pct,25,scan,896.25,62495300
1000000000,scattered,broad-25pct,25,union-intersect,234.60,62495300
1000000000,scattered,broad-25pct,50,scan,1576.36,124992185
1000000000,scattered,broad-25pct,50,union-intersect,445.35,124992185
1000000000,scattered,broad-25pct,100,scan,164.51,250000000
1000000000,scattered,broad-25pct,100,union-intersect,902.32,250000000
1000000000,scattered,all,5,scan,1112.91,49998451
1000000000,scattered,all,5,union-intersect,210.19,49998451
1000000000,scattered,all,25,scan,3590.63,249998309
1000000000,scattered,all,25,union-intersect,283.87,249998309
1000000000,scattered,all,50,scan,6367.53,500002017
1000000000,scattered,all,50,union-intersect,511.01,500002017
1000000000,scattered,all,100,scan,664.05,1000000000
1000000000,scattered,all,100,union-intersect,872.20,1000000000
1000000000,scattered,hidden-scattered,1,intersect-hidden,1.992,0
1000000000,scattered,hidden-scattered,1,intersect-absent,0.000,0
