n,predicate,width,ms,ns_per_candidate,hits
100000000,eq,i64,112.9,4.52,237
100000000,eq,i32,119.6,4.78,237
100000000,contains,i64,268.6,10.74,3124437
100000000,contains,i32,265.2,10.61,3124437
