n,shape,candidate,k,form,ms,hits
1000000000,correlated,broad-25pct,5,scan,124.43,50000000
1000000000,correlated,broad-25pct,5,union-intersect,0.06,50000000
1000000000,correlated,broad-25pct,25,scan,168.97,250000000
1000000000,correlated,broad-25pct,25,union-intersect,0.53,250000000
1000000000,correlated,broad-25pct,50,scan,168.53,250000000
1000000000,correlated,broad-25pct,50,union-intersect,0.89,250000000
1000000000,correlated,broad-25pct,100,scan,169.95,250000000
1000000000,correlated,broad-25pct,100,union-intersect,1.64,250000000
1000000000,correlated,all,5,scan,463.66,50000000
1000000000,correlated,all,5,union-intersect,0.06,50000000
1000000000,correlated,all,25,scan,514.16,250000000
1000000000,correlated,all,25,union-intersect,0.52,250000000
1000000000,correlated,all,50,scan,559.84,500000000
1000000000,correlated,all,50,union-intersect,1.10,500000000
1000000000,correlated,all,100,scan,672.61,1000000000
1000000000,correlated,all,100,union-intersect,2.44,1000000000
1000000000,scattered,broad-25pct,5,scan,273.17,12502275
1000000000,scattered,broad-25pct,5,union-intersect,179.69,12502275
1000000000,scattered,broad-25pct,25,scan,887.24,62495300
1000000000,scattered,broad-25pct,25,union-intersect,232.01,62495300
1000000000,scattered,broad-25pct,50,scan,1582.98,124992185
1000000000,scattered,broad-25pct,50,union-intersect,445.90,124992185
1000000000,scattered,broad-25pct,100,scan,164.05,250000000
1000000000,scattered,broad-25pct,100,union-intersect,990.84,250000000
1000000000,scattered,all,5,scan,1095.07,49998451
1000000000,scattered,all,5,union-intersect,217.70,49998451
1000000000,scattered,all,25,scan,3641.10,249998309
1000000000,scattered,all,25,union-intersect,286.75,249998309
1000000000,scattered,all,50,scan,6344.32,500002017
1000000000,scattered,all,50,union-intersect,485.39,500002017
1000000000,scattered,all,100,scan,660.68,1000000000
1000000000,scattered,all,100,union-intersect,836.77,1000000000
1000000000,scattered,hidden-scattered,1,intersect-hidden,2.078,0
1000000000,scattered,hidden-scattered,1,intersect-absent,0.000,0
