n,arm,needle,candidate,candidate_entities,ms,ns_per_candidate,hits
100000000,shipped,-000,sparse-contiguous-1pct,1000000,11.421,11.42,972
100000000,shipped,-000,broad-25pct,25000000,284.958,11.40,24929
100000000,shipped,-000,sparse-scattered-1pct,999463,110.687,110.75,1008
100000000,shipped,erg,sparse-contiguous-1pct,1000000,15.546,15.55,249714
100000000,shipped,erg,broad-25pct,25000000,392.004,15.68,6252496
100000000,shipped,erg,sparse-scattered-1pct,999463,111.313,111.37,250457
100000000,shipped,qzx,sparse-contiguous-1pct,1000000,11.737,11.74,0
100000000,shipped,qzx,broad-25pct,25000000,205.420,8.22,0
100000000,shipped,qzx,sparse-scattered-1pct,999463,95.059,95.11,0
100000000,memmem-value,-000,sparse-contiguous-1pct,1000000,12.320,12.32,972
100000000,memmem-concat,-000,sparse-contiguous-1pct,1000000,1.592,1.59,972
100000000,swar-value,-000,sparse-contiguous-1pct,1000000,10.966,10.97,972
100000000,bloom8,-000,sparse-contiguous-1pct,1000000,10.214,10.21,972
100000000,tri16,-000,sparse-contiguous-1pct,1000000,3.359,3.36,972
100000000,desc64,-000,sparse-contiguous-1pct,1000000,3.519,3.52,972
100000000,desc64+tri32,-000,sparse-contiguous-1pct,1000000,2.431,2.43,972
100000000,memmem-value,-000,broad-25pct,25000000,307.643,12.31,24929
100000000,memmem-concat,-000,broad-25pct,25000000,41.117,1.64,24929
100000000,swar-value,-000,broad-25pct,25000000,271.480,10.86,24929
100000000,bloom8,-000,broad-25pct,25000000,257.353,10.29,24929
100000000,tri16,-000,broad-25pct,25000000,84.493,3.38,24929
100000000,desc64,-000,broad-25pct,25000000,89.122,3.56,24929
100000000,desc64+tri32,-000,broad-25pct,25000000,79.392,3.18,24929
100000000,memmem-value,-000,sparse-scattered-1pct,999463,105.862,105.92,1008
100000000,memmem-concat,-000,sparse-scattered-1pct,999463,82.980,83.02,1008
100000000,swar-value,-000,sparse-scattered-1pct,999463,81.703,81.75,1008
100000000,bloom8,-000,sparse-scattered-1pct,999463,84.704,84.75,1008
100000000,tri16,-000,sparse-scattered-1pct,999463,42.101,42.12,1008
100000000,desc64,-000,sparse-scattered-1pct,999463,42.344,42.37,1008
100000000,desc64+tri32,-000,sparse-scattered-1pct,999463,37.735,37.75,1008
100000000,memmem-value,erg,sparse-contiguous-1pct,1000000,14.835,14.84,249714
100000000,memmem-concat,erg,sparse-contiguous-1pct,1000000,5.853,5.85,249714
100000000,swar-value,erg,sparse-contiguous-1pct,1000000,12.996,13.00,249714
100000000,bloom8,erg,sparse-contiguous-1pct,1000000,12.445,12.44,249714
100000000,tri16,erg,sparse-contiguous-1pct,1000000,13.305,13.30,249714
100000000,desc64,erg,sparse-contiguous-1pct,1000000,13.200,13.20,249714
100000000,desc64+tri32,erg,sparse-contiguous-1pct,1000000,12.555,12.56,249714
100000000,memmem-value,erg,broad-25pct,25000000,388.794,15.55,6252496
100000000,memmem-concat,erg,broad-25pct,25000000,161.251,6.45,6252496
100000000,swar-value,erg,broad-25pct,25000000,338.836,13.55,6252496
100000000,bloom8,erg,broad-25pct,25000000,325.870,13.03,6252496
100000000,tri16,erg,broad-25pct,25000000,351.867,14.07,6252496
100000000,desc64,erg,broad-25pct,25000000,340.198,13.61,6252496
100000000,desc64+tri32,erg,broad-25pct,25000000,325.511,13.02,6252496
100000000,memmem-value,erg,sparse-scattered-1pct,999463,108.710,108.77,250457
100000000,memmem-concat,erg,sparse-scattered-1pct,999463,89.340,89.39,250457
100000000,swar-value,erg,sparse-scattered-1pct,999463,88.639,88.69,250457
100000000,bloom8,erg,sparse-scattered-1pct,999463,83.854,83.90,250457
100000000,tri16,erg,sparse-scattered-1pct,999463,96.967,97.02,250457
100000000,desc64,erg,sparse-scattered-1pct,999463,89.358,89.41,250457
100000000,desc64+tri32,erg,sparse-scattered-1pct,999463,84.752,84.80,250457
100000000,memmem-value,qzx,sparse-contiguous-1pct,1000000,12.379,12.38,0
100000000,memmem-concat,qzx,sparse-contiguous-1pct,1000000,0.586,0.59,0
100000000,swar-value,qzx,sparse-contiguous-1pct,1000000,8.441,8.44,0
100000000,bloom8,qzx,sparse-contiguous-1pct,1000000,8.525,8.52,0
100000000,tri16,qzx,sparse-contiguous-1pct,1000000,7.810,7.81,0
100000000,desc64,qzx,sparse-contiguous-1pct,1000000,7.634,7.63,0
100000000,desc64+tri32,qzx,sparse-contiguous-1pct,1000000,5.906,5.91,0
100000000,memmem-value,qzx,broad-25pct,25000000,312.909,12.52,0
100000000,memmem-concat,qzx,broad-25pct,25000000,17.367,0.69,0
100000000,swar-value,qzx,broad-25pct,25000000,212.888,8.52,0
100000000,bloom8,qzx,broad-25pct,25000000,214.822,8.59,0
100000000,tri16,qzx,broad-25pct,25000000,204.694,8.19,0
100000000,desc64,qzx,broad-25pct,25000000,198.964,7.96,0
100000000,desc64+tri32,qzx,broad-25pct,25000000,154.160,6.17,0
100000000,memmem-value,qzx,sparse-scattered-1pct,999463,107.503,107.56,0
100000000,memmem-concat,qzx,sparse-scattered-1pct,999463,69.270,69.31,0
100000000,swar-value,qzx,sparse-scattered-1pct,999463,73.661,73.70,0
100000000,bloom8,qzx,sparse-scattered-1pct,999463,81.361,81.40,0
100000000,tri16,qzx,sparse-scattered-1pct,999463,75.965,76.01,0
100000000,desc64,qzx,sparse-scattered-1pct,999463,64.096,64.13,0
100000000,desc64+tri32,qzx,sparse-scattered-1pct,999463,49.765,49.79,0
