n,arm,needle,candidate,candidate_entities,ms,ns_per_candidate,hits
100000000,shipped,-000,sparse-contiguous-1pct,1000000,10.317,10.32,972
100000000,shipped,-000,broad-25pct,25000000,457.087,18.28,24929
100000000,shipped,-000,sparse-scattered-1pct,999463,163.658,163.75,1008
100000000,shipped,erg,sparse-contiguous-1pct,1000000,23.680,23.68,249714
100000000,shipped,erg,broad-25pct,25000000,424.772,16.99,6252496
100000000,shipped,erg,sparse-scattered-1pct,999463,157.566,157.65,250457
100000000,shipped,qzx,sparse-contiguous-1pct,1000000,34.616,34.62,0
100000000,shipped,qzx,broad-25pct,25000000,241.751,9.67,0
100000000,shipped,qzx,sparse-scattered-1pct,999463,129.055,129.12,0
100000000,memmem-value,-000,sparse-contiguous-1pct,1000000,12.394,12.39,972
100000000,memmem-concat,-000,sparse-contiguous-1pct,1000000,1.849,1.85,972
100000000,swar-value,-000,sparse-contiguous-1pct,1000000,10.976,10.98,972
100000000,bloom8,-000,sparse-contiguous-1pct,1000000,10.345,10.34,972
100000000,tri16,-000,sparse-contiguous-1pct,1000000,3.402,3.40,972
100000000,desc64,-000,sparse-contiguous-1pct,1000000,3.569,3.57,972
100000000,desc64+tri32,-000,sparse-contiguous-1pct,1000000,2.890,2.89,972
100000000,memmem-value,-000,broad-25pct,25000000,311.252,12.45,24929
100000000,memmem-concat,-000,broad-25pct,25000000,41.731,1.67,24929
100000000,swar-value,-000,broad-25pct,25000000,290.154,11.61,24929
100000000,bloom8,-000,broad-25pct,25000000,257.758,10.31,24929
100000000,tri16,-000,broad-25pct,25000000,85.266,3.41,24929
100000000,desc64,-000,broad-25pct,25000000,96.630,3.87,24929
100000000,desc64+tri32,-000,broad-25pct,25000000,80.113,3.20,24929
100000000,memmem-value,-000,sparse-scattered-1pct,999463,111.227,111.29,1008
100000000,memmem-concat,-000,sparse-scattered-1pct,999463,85.998,86.04,1008
100000000,swar-value,-000,sparse-scattered-1pct,999463,87.808,87.86,1008
100000000,bloom8,-000,sparse-scattered-1pct,999463,91.600,91.65,1008
100000000,tri16,-000,sparse-scattered-1pct,999463,46.106,46.13,1008
100000000,desc64,-000,sparse-scattered-1pct,999463,34.663,34.68,1008
100000000,desc64+tri32,-000,sparse-scattered-1pct,999463,28.041,28.06,1008
100000000,memmem-value,erg,sparse-contiguous-1pct,1000000,15.112,15.11,249714
100000000,memmem-concat,erg,sparse-contiguous-1pct,1000000,5.903,5.90,249714
100000000,swar-value,erg,sparse-contiguous-1pct,1000000,13.425,13.42,249714
100000000,bloom8,erg,sparse-contiguous-1pct,1000000,12.726,12.73,249714
100000000,tri16,erg,sparse-contiguous-1pct,1000000,13.382,13.38,249714
100000000,desc64,erg,sparse-contiguous-1pct,1000000,13.191,13.19,249714
100000000,desc64+tri32,erg,sparse-contiguous-1pct,1000000,12.553,12.55,249714
100000000,memmem-value,erg,broad-25pct,25000000,387.422,15.50,6252496
100000000,memmem-concat,erg,broad-25pct,25000000,187.353,7.49,6252496
100000000,swar-value,erg,broad-25pct,25000000,379.880,15.20,6252496
100000000,bloom8,erg,broad-25pct,25000000,328.569,13.14,6252496
100000000,tri16,erg,broad-25pct,25000000,350.455,14.02,6252496
100000000,desc64,erg,broad-25pct,25000000,344.604,13.78,6252496
100000000,desc64+tri32,erg,broad-25pct,25000000,329.302,13.17,6252496
100000000,memmem-value,erg,sparse-scattered-1pct,999463,111.902,111.96,250457
100000000,memmem-concat,erg,sparse-scattered-1pct,999463,91.888,91.94,250457
100000000,swar-value,erg,sparse-scattered-1pct,999463,90.806,90.85,250457
100000000,bloom8,erg,sparse-scattered-1pct,999463,87.495,87.54,250457
100000000,tri16,erg,sparse-scattered-1pct,999463,101.215,101.27,250457
100000000,desc64,erg,sparse-scattered-1pct,999463,90.570,90.62,250457
100000000,desc64+tri32,erg,sparse-scattered-1pct,999463,87.525,87.57,250457
100000000,memmem-value,qzx,sparse-contiguous-1pct,1000000,12.438,12.44,0
100000000,memmem-concat,qzx,sparse-contiguous-1pct,1000000,0.333,0.33,0
100000000,swar-value,qzx,sparse-contiguous-1pct,1000000,8.518,8.52,0
100000000,bloom8,qzx,sparse-contiguous-1pct,1000000,8.566,8.57,0
100000000,tri16,qzx,sparse-contiguous-1pct,1000000,7.866,7.87,0
100000000,desc64,qzx,sparse-contiguous-1pct,1000000,7.647,7.65,0
100000000,desc64+tri32,qzx,sparse-contiguous-1pct,1000000,5.944,5.94,0
100000000,memmem-value,qzx,broad-25pct,25000000,315.242,12.61,0
100000000,memmem-concat,qzx,broad-25pct,25000000,16.954,0.68,0
100000000,swar-value,qzx,broad-25pct,25000000,212.689,8.51,0
100000000,bloom8,qzx,broad-25pct,25000000,216.275,8.65,0
100000000,tri16,qzx,broad-25pct,25000000,200.469,8.02,0
100000000,desc64,qzx,broad-25pct,25000000,195.089,7.80,0
100000000,desc64+tri32,qzx,broad-25pct,25000000,153.249,6.13,0
100000000,memmem-value,qzx,sparse-scattered-1pct,999463,110.035,110.09,0
100000000,memmem-concat,qzx,sparse-scattered-1pct,999463,70.487,70.52,0
100000000,swar-value,qzx,sparse-scattered-1pct,999463,72.392,72.43,0
100000000,bloom8,qzx,sparse-scattered-1pct,999463,79.316,79.36,0
100000000,tri16,qzx,sparse-scattered-1pct,999463,74.917,74.96,0
100000000,desc64,qzx,sparse-scattered-1pct,999463,63.730,63.76,0
100000000,desc64+tri32,qzx,sparse-scattered-1pct,999463,49.630,49.66,0
