n,arm,candidate,candidate_entities,ms,ns_per_candidate,checksum
100000000,shipped,sparse-contiguous-1pct,1000000,10.088,10.09,972
100000000,shipped,broad-25pct,25000000,272.834,10.91,24929
100000000,shipped,sparse-scattered-1pct,999463,92.458,92.51,1008
100000000,traverse,sparse-contiguous-1pct,1000000,0.438,0.44,33833332500000
100000000,offsets-len,sparse-contiguous-1pct,1000000,0.760,0.76,1000000
100000000,first-byte,sparse-contiguous-1pct,1000000,1.323,1.32,0
100000000,fb-scan,sparse-contiguous-1pct,1000000,11.297,11.30,1000000
100000000,full,sparse-contiguous-1pct,1000000,11.116,11.12,972
100000000,traverse,broad-25pct,25000000,12.785,0.51,312499987500000
100000000,offsets-len,broad-25pct,25000000,21.478,0.86,25000000
100000000,first-byte,broad-25pct,25000000,30.404,1.22,0
100000000,fb-scan,broad-25pct,25000000,208.256,8.33,25000000
100000000,full,broad-25pct,25000000,233.364,9.33,24929
100000000,traverse,sparse-scattered-1pct,999463,3.668,3.67,49972168048021
100000000,offsets-len,sparse-scattered-1pct,999463,20.075,20.09,999463
100000000,first-byte,sparse-scattered-1pct,999463,34.867,34.89,0
100000000,fb-scan,sparse-scattered-1pct,999463,77.211,77.25,999463
100000000,full,sparse-scattered-1pct,999463,89.901,89.95,1008
