n,arm,needle,candidate,candidate_entities,ms,ns_per_candidate,hits
1000000000,shipped,-000,sparse-contiguous-1pct,10000000,109.498,10.95,9984
1000000000,shipped,-000,broad-25pct,250000000,2767.884,11.07,249513
1000000000,shipped,-000,sparse-scattered-1pct,10000954,954.326,95.42,9944
1000000000,shipped,erg,sparse-contiguous-1pct,10000000,156.850,15.69,2500408
1000000000,shipped,erg,broad-25pct,250000000,3883.780,15.54,62498067
1000000000,shipped,erg,sparse-scattered-1pct,10000954,987.546,98.75,2500224
1000000000,shipped,qzx,sparse-contiguous-1pct,10000000,88.063,8.81,0
1000000000,shipped,qzx,broad-25pct,250000000,2245.816,8.98,0
1000000000,shipped,qzx,sparse-scattered-1pct,10000954,719.040,71.90,0
1000000000,memmem-value,-000,sparse-contiguous-1pct,10000000,132.417,13.24,9984
1000000000,memmem-concat,-000,sparse-contiguous-1pct,10000000,16.716,1.67,9984
1000000000,swar-value,-000,sparse-contiguous-1pct,10000000,106.197,10.62,9984
1000000000,desc64,-000,sparse-contiguous-1pct,10000000,35.366,3.54,9984
1000000000,desc64+tri32,-000,sparse-contiguous-1pct,10000000,31.469,3.15,9984
1000000000,memmem-value,-000,broad-25pct,250000000,3188.646,12.75,249513
1000000000,memmem-concat,-000,broad-25pct,250000000,408.920,1.64,249513
1000000000,swar-value,-000,broad-25pct,250000000,2649.166,10.60,249513
1000000000,desc64,-000,broad-25pct,250000000,880.213,3.52,249513
1000000000,desc64+tri32,-000,broad-25pct,250000000,801.143,3.20,249513
1000000000,memmem-value,-000,sparse-scattered-1pct,10000954,1007.886,100.78,9944
1000000000,memmem-concat,-000,sparse-scattered-1pct,10000954,775.459,77.54,9944
1000000000,swar-value,-000,sparse-scattered-1pct,10000954,761.796,76.17,9944
1000000000,desc64,-000,sparse-scattered-1pct,10000954,316.261,31.62,9944
1000000000,desc64+tri32,-000,sparse-scattered-1pct,10000954,256.398,25.64,9944
1000000000,memmem-value,erg,sparse-contiguous-1pct,10000000,147.930,14.79,2500408
1000000000,memmem-concat,erg,sparse-contiguous-1pct,10000000,58.696,5.87,2500408
1000000000,swar-value,erg,sparse-contiguous-1pct,10000000,134.771,13.48,2500408
1000000000,desc64,erg,sparse-contiguous-1pct,10000000,135.920,13.59,2500408
1000000000,desc64+tri32,erg,sparse-contiguous-1pct,10000000,129.248,12.92,2500408
1000000000,memmem-value,erg,broad-25pct,250000000,4028.740,16.11,62498067
1000000000,memmem-concat,erg,broad-25pct,250000000,1663.200,6.65,62498067
1000000000,swar-value,erg,broad-25pct,250000000,3425.082,13.70,62498067
1000000000,desc64,erg,broad-25pct,250000000,3466.280,13.87,62498067
1000000000,desc64+tri32,erg,broad-25pct,250000000,3279.966,13.12,62498067
1000000000,memmem-value,erg,sparse-scattered-1pct,10000954,1107.320,110.72,2500224
1000000000,memmem-concat,erg,sparse-scattered-1pct,10000954,887.895,88.78,2500224
1000000000,swar-value,erg,sparse-scattered-1pct,10000954,904.597,90.45,2500224
1000000000,desc64,erg,sparse-scattered-1pct,10000954,901.806,90.17,2500224
1000000000,desc64+tri32,erg,sparse-scattered-1pct,10000954,844.653,84.46,2500224
1000000000,memmem-value,qzx,sparse-contiguous-1pct,10000000,132.094,13.21,0
1000000000,memmem-concat,qzx,sparse-contiguous-1pct,10000000,5.540,0.55,0
1000000000,swar-value,qzx,sparse-contiguous-1pct,10000000,86.155,8.62,0
1000000000,desc64,qzx,sparse-contiguous-1pct,10000000,76.536,7.65,0
1000000000,desc64+tri32,qzx,sparse-contiguous-1pct,10000000,59.647,5.96,0
1000000000,memmem-value,qzx,broad-25pct,250000000,3237.775,12.95,0
1000000000,memmem-concat,qzx,broad-25pct,250000000,172.780,0.69,0
1000000000,swar-value,qzx,broad-25pct,250000000,2023.914,8.10,0
1000000000,desc64,qzx,broad-25pct,250000000,1911.952,7.65,0
1000000000,desc64+tri32,qzx,broad-25pct,250000000,1480.270,5.92,0
1000000000,memmem-value,qzx,sparse-scattered-1pct,10000954,1103.167,110.31,0
1000000000,memmem-concat,qzx,sparse-scattered-1pct,10000954,791.519,79.14,0
1000000000,swar-value,qzx,sparse-scattered-1pct,10000954,787.135,78.71,0
1000000000,desc64,qzx,sparse-scattered-1pct,10000954,724.335,72.43,0
1000000000,desc64+tri32,qzx,sparse-scattered-1pct,10000954,538.338,53.83,0
