n,presence,layout,present_entities,addressing_bytes,values_bytes,addressing_bytes_per_present,candidate,scan_ms,hits
1000000000,all,bare,1000000000,0,4000000000,0.0000,sparse-contiguous-1pct,28.69,10046
1000000000,all,bare,1000000000,0,4000000000,0.0000,broad-25pct,730.44,250294
1000000000,all,bare,1000000000,0,4000000000,0.0000,sparse-scattered-1pct,220.86,10070
1000000000,all,pairs,1000000000,4000000000,4000000000,4.0000,sparse-contiguous-1pct,278.54,10046
1000000000,all,pairs,1000000000,4000000000,4000000000,4.0000,broad-25pct,869.55,250294
1000000000,all,pairs,1000000000,4000000000,4000000000,4.0000,sparse-scattered-1pct,1412.53,10070
1000000000,all,roaring,1000000000,215538,4000000000,0.0002,sparse-contiguous-1pct,1078.18,10046
1000000000,all,roaring,1000000000,215538,4000000000,0.0002,broad-25pct,1518.10,250294
1000000000,all,roaring,1000000000,215538,4000000000,0.0002,sparse-scattered-1pct,3684.28,10070
1000000000,all,runs,1000000000,12,4000000000,0.0000,sparse-contiguous-1pct,35.04,10046
1000000000,all,runs,1000000000,12,4000000000,0.0000,broad-25pct,939.15,250294
1000000000,all,runs,1000000000,12,4000000000,0.0000,sparse-scattered-1pct,258.73,10070
1000000000,slices-10,pairs,100000000,400000000,400000000,4.0000,sparse-contiguous-1pct,56.62,970
1000000000,slices-10,pairs,100000000,400000000,400000000,4.0000,broad-25pct,800.45,24816
1000000000,slices-10,pairs,100000000,400000000,400000000,4.0000,sparse-scattered-1pct,171.31,967
1000000000,slices-10,roaring,100000000,35670,400000000,0.0004,sparse-contiguous-1pct,108.96,970
1000000000,slices-10,roaring,100000000,35670,400000000,0.0004,broad-25pct,161.16,24816
1000000000,slices-10,roaring,100000000,35670,400000000,0.0004,sparse-scattered-1pct,377.60,967
1000000000,slices-10,runs,100000000,12000,400000000,0.0001,sparse-contiguous-1pct,113.75,970
1000000000,slices-10,runs,100000000,12000,400000000,0.0001,broad-25pct,2872.65,24816
1000000000,slices-10,runs,100000000,12000,400000000,0.0001,sparse-scattered-1pct,160.66,967
1000000000,scattered-10pct,pairs,99997353,399989412,399989412,4.0000,sparse-contiguous-1pct,61.52,1049
1000000000,scattered-10pct,pairs,99997353,399989412,399989412,4.0000,broad-25pct,880.61,25083
1000000000,scattered-10pct,pairs,99997353,399989412,399989412,4.0000,sparse-scattered-1pct,211.83,982
1000000000,scattered-10pct,roaring,99997353,125123808,399989412,1.2513,sparse-contiguous-1pct,171.25,1049
1000000000,scattered-10pct,roaring,99997353,125123808,399989412,1.2513,broad-25pct,231.62,25083
1000000000,scattered-10pct,roaring,99997353,125123808,399989412,1.2513,sparse-scattered-1pct,584.34,982
1000000000,scattered-10pct,runs,99997353,1080007524,399989412,10.8004,sparse-contiguous-1pct,399.28,1049
1000000000,scattered-10pct,runs,99997353,1080007524,399989412,10.8004,broad-25pct,10204.45,25083
1000000000,scattered-10pct,runs,99997353,1080007524,399989412,10.8004,sparse-scattered-1pct,631.47,982
