n,predicate,width,ms,ns_per_candidate,hits
100000000,eq,i64,102.2,4.09,237
100000000,eq,i32,107.6,4.30,237
100000000,contains,i64,244.1,9.76,3124437
100000000,contains,i32,270.9,10.84,3124437
