run,n,family,predicate,candidate,candidate_entities,ms,ns_per_candidate,hits
2,100000000,category,u8-in-32,broad-25pct,25000000,51.01,2.04,3998724
2,100000000,category,u8-eq,sparse-scattered-1pct,999463,8.37,8.37,4995
2,100000000,category,u8-in-2,sparse-scattered-1pct,999463,8.20,8.21,9993
2,100000000,category,u8-in-8,sparse-scattered-1pct,999463,8.27,8.27,39903
2,100000000,category,u8-in-32,sparse-scattered-1pct,999463,9.23,9.24,159834
2,100000000,category,u16-eq,sparse-contiguous-1pct,1000000,0.29,0.29,22
2,100000000,category,u16-in-2,sparse-contiguous-1pct,1000000,0.44,0.44,38
2,100000000,category,u16-in-8,sparse-contiguous-1pct,1000000,0.42,0.42,165
2,100000000,category,u16-in-32,sparse-contiguous-1pct,1000000,0.43,0.43,609
2,100000000,category,u16-eq,broad-25pct,25000000,5.51,0.22,509
2,100000000,category,u16-in-2,broad-25pct,25000000,10.68,0.43,1032
2,100000000,category,u16-in-8,broad-25pct,25000000,11.08,0.44,3975
2,100000000,category,u16-in-32,broad-25pct,25000000,10.85,0.43,16107
2,100000000,category,u16-eq,sparse-scattered-1pct,999463,12.69,12.70,14
2,100000000,category,u16-in-2,sparse-scattered-1pct,999463,12.28,12.28,38
2,100000000,category,u16-in-8,sparse-scattered-1pct,999463,12.37,12.38,173
2,100000000,category,u16-in-32,sparse-scattered-1pct,999463,15.37,15.38,647
2,100000000,category,u32-eq,sparse-contiguous-1pct,1000000,0.27,0.27,0
2,100000000,category,u32-in-2,sparse-contiguous-1pct,1000000,0.83,0.83,5
2,100000000,category,u32-in-8,sparse-contiguous-1pct,1000000,1.68,1.68,12
2,100000000,category,u32-in-32,sparse-contiguous-1pct,1000000,2.87,2.87,32
2,100000000,category,u32-eq,broad-25pct,25000000,7.44,0.30,27
2,100000000,category,u32-in-2,broad-25pct,25000000,21.19,0.85,44
2,100000000,category,u32-in-8,broad-25pct,25000000,41.54,1.66,201
2,100000000,category,u32-in-32,broad-25pct,25000000,70.72,2.83,819
2,100000000,category,u32-eq,sparse-scattered-1pct,999463,11.98,11.99,2
2,100000000,category,u32-in-2,sparse-scattered-1pct,999463,15.48,15.49,2
2,100000000,category,u32-in-8,sparse-scattered-1pct,999463,23.86,23.87,5
2,100000000,category,u32-in-32,sparse-scattered-1pct,999463,26.45,26.47,30
3,100000000,text,text-eq-hit,sparse-contiguous-1pct,1000000,3.41,3.41,8
3,100000000,text,text-eq-miss,sparse-contiguous-1pct,1000000,3.27,3.27,0
3,100000000,text,text-in-5,sparse-contiguous-1pct,1000000,7.82,7.82,51
3,100000000,text,text-prefix-stem,sparse-contiguous-1pct,1000000,3.96,3.96,125314
3,100000000,text,text-prefix-3,sparse-contiguous-1pct,1000000,3.89,3.89,125314
3,100000000,text,text-contains,sparse-contiguous-1pct,1000000,9.49,9.49,972
3,100000000,text,text-eq-hit,broad-25pct,25000000,85.43,3.42,237
3,100000000,text,text-eq-miss,broad-25pct,25000000,82.25,3.29,0
3,100000000,text,text-in-5,broad-25pct,25000000,201.73,8.07,1160
3,100000000,text,text-prefix-stem,broad-25pct,25000000,104.80,4.19,3124437
3,100000000,text,text-prefix-3,broad-25pct,25000000,109.19,4.37,3124437
3,100000000,text,text-contains,broad-25pct,25000000,243.21,9.73,24929
3,100000000,text,text-eq-hit,sparse-scattered-1pct,999463,30.18,30.20,8
3,100000000,text,text-eq-miss,sparse-scattered-1pct,999463,29.63,29.65,0
3,100000000,text,text-in-5,sparse-scattered-1pct,999463,60.36,60.39,43
3,100000000,text,text-prefix-stem,sparse-scattered-1pct,999463,46.94,46.97,124855
3,100000000,text,text-prefix-3,sparse-scattered-1pct,999463,56.36,56.39,124855
3,100000000,text,text-contains,sparse-scattered-1pct,999463,96.38,96.43,1008
3,100000000,category,u8-eq,sparse-contiguous-1pct,1000000,0.25,0.25,5038
3,100000000,category,u8-in-2,sparse-contiguous-1pct,1000000,0.55,0.55,10101
3,100000000,category,u8-in-8,sparse-contiguous-1pct,1000000,0.84,0.84,40140
3,100000000,category,u8-in-32,sparse-contiguous-1pct,1000000,2.03,2.03,159921
3,100000000,category,u8-eq,broad-25pct,25000000,6.53,0.26,125036
3,100000000,category,u8-in-2,broad-25pct,25000000,12.96,0.52,249248
3,100000000,category,u8-in-8,broad-25pct,25000000,19.95,0.80,998277
3,100000000,category,u8-in-32,broad-25pct,25000000,50.80,2.03,3998724
3,100000000,category,u8-eq,sparse-scattered-1pct,999463,8.51,8.51,4995
3,100000000,category,u8-in-2,sparse-scattered-1pct,999463,9.01,9.01,9993
3,100000000,category,u8-in-8,sparse-scattered-1pct,999463,8.53,8.53,39903
3,100000000,category,u8-in-32,sparse-scattered-1pct,999463,9.51,9.52,159834
3,100000000,category,u16-eq,sparse-contiguous-1pct,1000000,0.23,0.23,22
3,100000000,category,u16-in-2,sparse-contiguous-1pct,1000000,0.42,0.42,38
3,100000000,category,u16-in-8,sparse-contiguous-1pct,1000000,0.42,0.42,165
3,100000000,category,u16-in-32,sparse-contiguous-1pct,1000000,0.43,0.43,609
3,100000000,category,u16-eq,broad-25pct,25000000,5.51,0.22,509
3,100000000,category,u16-in-2,broad-25pct,25000000,10.77,0.43,1032
3,100000000,category,u16-in-8,broad-25pct,25000000,10.84,0.43,3975
3,100000000,category,u16-in-32,broad-25pct,25000000,10.89,0.44,16107
3,100000000,category,u16-eq,sparse-scattered-1pct,999463,10.61,10.61,14
3,100000000,category,u16-in-2,sparse-scattered-1pct,999463,11.42,11.42,38
