n,candidate,selectivity_pct,form,ms,hits
1000000000,all,1,shipped,674.7,10000950
1000000000,all,1,count,775.1,10000950
1000000000,all,1,portable,854.2,10000950
1000000000,all,1,count-swar,92.4,10000950
1000000000,all,1,portable-swar,173.4,10000950
1000000000,all,1,portable-chunked,172.2,10000950
1000000000,all,1,saferange,915.4,10000950
1000000000,all,5,shipped,1135.5,49998451
1000000000,all,5,count,797.8,49998451
1000000000,all,5,portable,997.3,49998451
1000000000,all,5,count-swar,93.4,49998451
1000000000,all,5,portable-swar,317.2,49998451
1000000000,all,5,portable-chunked,318.3,49998451
1000000000,all,5,saferange,1189.6,49998451
1000000000,all,25,shipped,3360.0,249998309
1000000000,all,25,count,782.7,249998309
1000000000,all,25,portable,812.1,249998309
1000000000,all,25,count-swar,92.8,249998309
1000000000,all,25,portable-swar,187.2,249998309
1000000000,all,25,portable-chunked,228.5,249998309
1000000000,all,25,saferange,2083.7,249998309
1000000000,all,50,shipped,5919.1,500002017
1000000000,all,50,count,792.1,500002017
1000000000,all,50,portable,817.7,500002017
1000000000,all,50,count-swar,94.5,500002017
1000000000,all,50,portable-swar,125.6,500002017
1000000000,all,50,portable-chunked,157.5,500002017
1000000000,all,50,saferange,6600.9,500002017
1000000000,all,75,shipped,10167.3,750006791
1000000000,all,75,count,791.9,750006791
1000000000,all,75,portable,829.7,750006791
1000000000,all,75,count-swar,96.6,750006791
1000000000,all,75,portable-swar,136.5,750006791
1000000000,all,75,portable-chunked,132.4,750006791
1000000000,all,75,saferange,5333.3,750006791
1000000000,all,100,shipped,871.4,1000000000
1000000000,all,100,count,778.3,1000000000
1000000000,all,100,portable,815.9,1000000000
1000000000,all,100,count-swar,91.3,1000000000
1000000000,all,100,portable-swar,141.2,1000000000
1000000000,all,100,portable-chunked,122.5,1000000000
1000000000,all,100,saferange,785.0,1000000000
1000000000,broad-25pct,1,shipped,168.9,2501617
1000000000,broad-25pct,1,count,192.8,2501617
1000000000,broad-25pct,1,portable,209.2,2501617
1000000000,broad-25pct,1,count-swar,22.6,2501617
1000000000,broad-25pct,1,portable-swar,38.5,2501617
1000000000,broad-25pct,1,portable-chunked,39.4,2501617
1000000000,broad-25pct,1,saferange,227.3,2501617
1000000000,broad-25pct,5,shipped,287.8,12502275
1000000000,broad-25pct,5,count,202.3,12502275
1000000000,broad-25pct,5,portable,230.4,12502275
1000000000,broad-25pct,5,count-swar,23.4,12502275
1000000000,broad-25pct,5,portable-swar,59.0,12502275
1000000000,broad-25pct,5,portable-chunked,57.6,12502275
1000000000,broad-25pct,5,saferange,281.2,12502275
1000000000,broad-25pct,25,shipped,863.0,62495300
1000000000,broad-25pct,25,count,200.7,62495300
1000000000,broad-25pct,25,portable,207.1,62495300
1000000000,broad-25pct,25,count-swar,24.1,62495300
1000000000,broad-25pct,25,portable-swar,31.6,62495300
1000000000,broad-25pct,25,portable-chunked,32.8,62495300
1000000000,broad-25pct,25,saferange,499.8,62495300
1000000000,broad-25pct,50,shipped,1462.1,124992185
1000000000,broad-25pct,50,count,197.3,124992185
1000000000,broad-25pct,50,portable,206.7,124992185
1000000000,broad-25pct,50,count-swar,23.1,124992185
1000000000,broad-25pct,50,portable-swar,31.3,124992185
1000000000,broad-25pct,50,portable-chunked,30.7,124992185
1000000000,broad-25pct,50,saferange,1581.8,124992185
1000000000,broad-25pct,75,shipped,2444.9,187497885
1000000000,broad-25pct,75,count,194.2,187497885
1000000000,broad-25pct,75,portable,199.8,187497885
1000000000,broad-25pct,75,count-swar,22.8,187497885
1000000000,broad-25pct,75,portable-swar,30.8,187497885
1000000000,broad-25pct,75,portable-chunked,32.1,187497885
1000000000,broad-25pct,75,saferange,1249.0,187497885
1000000000,broad-25pct,100,shipped,216.8,250000000
1000000000,broad-25pct,100,count,193.8,250000000
1000000000,broad-25pct,100,portable,199.5,250000000
1000000000,broad-25pct,100,count-swar,22.9,250000000
1000000000,broad-25pct,100,portable-swar,30.8,250000000
1000000000,broad-25pct,100,portable-chunked,30.7,250000000
1000000000,broad-25pct,100,saferange,196.5,250000000
