n,arm,candidate,candidate_entities,ms,ns_per_candidate,checksum
100000000,shipped,sparse-contiguous-1pct,1000000,14.343,14.34,972
100000000,shipped,broad-25pct,25000000,282.389,11.30,24929
100000000,shipped,sparse-scattered-1pct,999463,95.822,95.87,1008
100000000,traverse,sparse-contiguous-1pct,1000000,0.434,0.43,33833332500000
100000000,offsets-len,sparse-contiguous-1pct,1000000,0.599,0.60,1000000
100000000,first-byte,sparse-contiguous-1pct,1000000,0.935,0.94,0
100000000,fb-scan,sparse-contiguous-1pct,1000000,7.269,7.27,1000000
100000000,full,sparse-contiguous-1pct,1000000,8.527,8.53,972
100000000,traverse,broad-25pct,25000000,10.941,0.44,312499987500000
100000000,offsets-len,broad-25pct,25000000,16.576,0.66,25000000
100000000,first-byte,broad-25pct,25000000,33.486,1.34,0
100000000,fb-scan,broad-25pct,25000000,204.968,8.20,25000000
100000000,full,broad-25pct,25000000,223.607,8.94,24929
100000000,traverse,sparse-scattered-1pct,999463,3.544,3.55,49972168048021
100000000,offsets-len,sparse-scattered-1pct,999463,15.273,15.28,999463
100000000,first-byte,sparse-scattered-1pct,999463,34.738,34.76,0
100000000,fb-scan,sparse-scattered-1pct,999463,71.862,71.90,999463
100000000,full,sparse-scattered-1pct,999463,86.703,86.75,1008
