n,candidate,selectivity_pct,form,ms,hits
1000000000,all,1,shipped,786.6,10000950
1000000000,all,1,count,845.0,10000950
1000000000,all,1,portable,964.3,10000950
1000000000,all,1,count-swar,109.5,10000950
1000000000,all,1,portable-swar,195.3,10000950
1000000000,all,1,portable-chunked,199.3,10000950
1000000000,all,1,saferange,1019.8,10000950
1000000000,all,5,shipped,1185.9,49998451
1000000000,all,5,count,812.2,49998451
1000000000,all,5,portable,1019.5,49998451
1000000000,all,5,count-swar,95.0,49998451
1000000000,all,5,portable-swar,323.3,49998451
1000000000,all,5,portable-chunked,347.9,49998451
1000000000,all,5,saferange,1356.6,49998451
1000000000,all,25,shipped,3506.2,249998309
1000000000,all,25,count,851.7,249998309
1000000000,all,25,portable,894.0,249998309
1000000000,all,25,count-swar,112.3,249998309
1000000000,all,25,portable-swar,216.2,249998309
1000000000,all,25,portable-chunked,265.7,249998309
1000000000,all,25,saferange,2282.1,249998309
1000000000,all,50,shipped,6026.7,500002017
1000000000,all,50,count,812.1,500002017
1000000000,all,50,portable,826.3,500002017
1000000000,all,50,count-swar,106.6,500002017
1000000000,all,50,portable-swar,140.7,500002017
1000000000,all,50,portable-chunked,188.3,500002017
1000000000,all,50,saferange,7003.6,500002017
1000000000,all,75,shipped,10516.9,750006791
1000000000,all,75,count,807.7,750006791
1000000000,all,75,portable,835.7,750006791
1000000000,all,75,count-swar,109.4,750006791
1000000000,all,75,portable-swar,180.3,750006791
1000000000,all,75,portable-chunked,141.0,750006791
1000000000,all,75,saferange,5235.0,750006791
1000000000,all,100,shipped,874.0,1000000000
1000000000,all,100,count,789.8,1000000000
1000000000,all,100,portable,824.6,1000000000
1000000000,all,100,count-swar,93.0,1000000000
1000000000,all,100,portable-swar,144.2,1000000000
1000000000,all,100,portable-chunked,123.8,1000000000
1000000000,all,100,saferange,788.3,1000000000
1000000000,broad-25pct,1,shipped,165.1,2501617
1000000000,broad-25pct,1,count,196.1,2501617
1000000000,broad-25pct,1,portable,210.4,2501617
1000000000,broad-25pct,1,count-swar,25.2,2501617
1000000000,broad-25pct,1,portable-swar,39.2,2501617
1000000000,broad-25pct,1,portable-chunked,40.0,2501617
1000000000,broad-25pct,1,saferange,224.3,2501617
1000000000,broad-25pct,5,shipped,277.1,12502275
1000000000,broad-25pct,5,count,197.0,12502275
1000000000,broad-25pct,5,portable,224.0,12502275
1000000000,broad-25pct,5,count-swar,22.9,12502275
1000000000,broad-25pct,5,portable-swar,57.1,12502275
1000000000,broad-25pct,5,portable-chunked,55.4,12502275
1000000000,broad-25pct,5,saferange,275.5,12502275
1000000000,broad-25pct,25,shipped,839.3,62495300
1000000000,broad-25pct,25,count,195.9,62495300
1000000000,broad-25pct,25,portable,201.8,62495300
1000000000,broad-25pct,25,count-swar,24.2,62495300
1000000000,broad-25pct,25,portable-swar,32.6,62495300
1000000000,broad-25pct,25,portable-chunked,31.2,62495300
1000000000,broad-25pct,25,saferange,503.7,62495300
1000000000,broad-25pct,50,shipped,1491.5,124992185
1000000000,broad-25pct,50,count,198.9,124992185
1000000000,broad-25pct,50,portable,206.3,124992185
1000000000,broad-25pct,50,count-swar,23.6,124992185
1000000000,broad-25pct,50,portable-swar,32.9,124992185
1000000000,broad-25pct,50,portable-chunked,31.9,124992185
1000000000,broad-25pct,50,saferange,1611.5,124992185
1000000000,broad-25pct,75,shipped,2504.1,187497885
1000000000,broad-25pct,75,count,196.9,187497885
1000000000,broad-25pct,75,portable,205.0,187497885
1000000000,broad-25pct,75,count-swar,23.2,187497885
1000000000,broad-25pct,75,portable-swar,31.9,187497885
1000000000,broad-25pct,75,portable-chunked,33.3,187497885
1000000000,broad-25pct,75,saferange,1264.3,187497885
1000000000,broad-25pct,100,shipped,218.5,250000000
1000000000,broad-25pct,100,count,195.6,250000000
1000000000,broad-25pct,100,portable,201.3,250000000
1000000000,broad-25pct,100,count-swar,23.0,250000000
1000000000,broad-25pct,100,portable-swar,31.2,250000000
1000000000,broad-25pct,100,portable-chunked,30.9,250000000
1000000000,broad-25pct,100,saferange,195.8,250000000
