t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM,majflt,read_bytes,psi_io_full
9.838,704164,13288,0,717452,850892,1,6578176,0.87
9.938,725152,13288,0,738440,850892,1,6578176,0.87
10.038,745256,13288,0,758544,850892,1,6578176,0.87
10.139,765100,13288,0,778388,850892,1,6578176,0.87
10.239,786004,13288,0,799292,850892,1,6578176,0.87
10.339,804956,13288,0,818244,850892,1,6578176,0.87
10.440,825040,13288,0,838328,850892,1,6578176,0.71
10.540,850480,13288,0,863768,863768,1,6578176,0.71
10.641,1020328,13288,0,1033616,1033616,1,6578176,0.71
10.741,1188320,13288,0,1201608,1201608,1,6578176,0.71
10.842,1357044,13288,0,1370332,1370332,1,6578176,0.71
10.942,1514572,13288,0,1527860,1527860,1,6578176,0.71
11.043,1557440,13288,0,1570728,1570728,1,6578176,0.71
11.144,1557440,13288,0,1570728,1570728,1,6578176,0.71
11.248,1557464,13288,0,1570752,1570752,1,6578176,0.71
11.348,1557496,13288,0,1570784,1570784,1,6578176,0.71
11.448,1596544,13288,0,1609832,1609832,1,6578176,0.71
11.549,1738248,13288,0,1751536,1751536,1,6578176,0.71
11.649,1880340,13288,0,1893628,1893628,1,6578176,0.71
11.750,1259252,13288,0,1272540,1968520,1,6578176,0.71
11.850,623144,13288,0,636432,1968520,1,6578176,0.71
11.950,715328,13288,0,728616,1968520,1,6578176,0.71
12.051,882836,13288,0,896124,1968520,1,6578176,0.71
12.152,746012,52200,0,798212,1968520,3,6578176,0.71
12.252,609392,140824,0,750216,1968520,5,6578176,0.71
12.356,609408,169672,0,779080,1968520,5,6578176,0.71
12.456,609420,169672,0,779092,1968520,5,6578176,0.58
12.557,694060,169672,0,863732,1968520,5,6578176,0.58
12.657,783696,169672,0,953368,1968520,5,6578176,0.58
12.759,804736,169672,0,974408,1968520,5,6578176,0.58
12.860,948864,169672,0,1118536,1968520,5,6578176,0.58
12.960,1062300,169672,0,1231972,1968520,5,6578176,0.58
13.061,1126352,169672,0,1296024,1968520,5,6578176,0.58
13.161,1160280,169672,0,1329952,1968520,5,6578176,0.58
13.262,1188512,169672,0,1358184,1968520,5,6578176,0.58
13.362,1116652,169672,0,1286324,1968520,5,6578176,0.58
13.463,1027316,169672,0,1196988,1968520,5,6578176,0.58
13.563,1027316,169672,0,1196988,1968520,5,6578176,0.58
13.664,1027316,169672,0,1196988,1968520,5,6578176,0.58
13.764,897168,169736,0,1066904,1968520,5,6578176,0.58
13.865,918916,169736,0,1088652,1968520,5,6578176,0.58
13.965,921056,169736,0,1090792,1968520,5,6578176,0.58
14.066,921076,169736,0,1090812,1968520,5,6578176,0.58
14.166,921100,169736,0,1090836,1968520,5,6578176,0.58
14.267,921104,169736,0,1090840,1968520,5,6578176,0.58
14.367,921108,169736,0,1090844,1968520,5,6578176,0.58
14.467,921144,169736,0,1090880,1968520,5,6578176,0.47
14.568,921160,169736,0,1090896,1968520,5,6578176,0.47
14.668,921196,169736,0,1090932,1968520,5,6578176,0.47
14.769,921224,169736,0,1090960,1968520,5,6578176,0.47
14.869,921232,169736,0,1090968,1968520,5,6578176,0.47
14.970,921252,169736,0,1090988,1968520,5,6578176,0.47
15.070,921300,169736,0,1091036,1968520,5,6578176,0.47
15.171,921316,169736,0,1091052,1968520,5,6578176,0.47
15.271,921320,169736,0,1091056,1968520,5,6578176,0.47
15.372,921324,169736,0,1091060,1968520,5,6578176,0.47
15.472,921328,169736,0,1091064,1968520,5,6578176,0.47
15.573,921332,169736,0,1091068,1968520,5,6578176,0.47
15.674,921332,169736,0,1091068,1968520,5,6578176,0.47
15.774,921332,169736,0,1091068,1968520,5,6578176,0.47
15.875,921332,169736,0,1091068,1968520,5,6578176,0.47
15.975,921332,169736,0,1091068,1968520,5,6578176,0.47
16.076,921332,169736,0,1091068,1968520,5,6578176,0.47
16.176,921332,169736,0,1091068,1968520,5,6578176,0.47
16.277,921332,169736,0,1091068,1968520,5,6578176,0.47
16.378,921332,169736,0,1091068,1968520,5,6578176,0.47
16.478,921332,169736,0,1091068,1968520,5,6578176,0.39
16.579,921332,169736,0,1091068,1968520,5,6578176,0.39
16.679,921332,169736,0,1091068,1968520,5,6578176,0.39
16.780,921332,169736,0,1091068,1968520,5,6578176,0.39
16.880,921332,169736,0,1091068,1968520,5,6578176,0.39
16.981,921332,169736,0,1091068,1968520,5,6578176,0.39
17.082,921344,169736,0,1091080,1968520,5,6578176,0.39
17.182,921352,169736,0,1091088,1968520,5,6578176,0.39
17.282,921548,169736,0,1091284,1968520,5,6578176,0.39
17.383,921616,169736,0,1091352,1968520,5,6578176,0.39
17.483,921616,169736,0,1091352,1968520,5,6578176,0.39
17.584,921616,169736,0,1091352,1968520,5,6578176,0.39
17.684,366788,91672,0,458460,1968520,5,6578176,0.39
17.785,374100,91992,0,466092,1968520,5,6578176,0.39
17.885,399684,91992,0,491676,1968520,5,6578176,0.39
17.986,426028,91992,0,518020,1968520,5,6578176,0.39
18.086,452272,91992,0,544264,1968520,5,6578176,0.39
18.187,478560,91992,0,570552,1968520,5,6578176,0.39
18.288,504492,91992,0,596484,1968520,5,6578176,0.39
18.388,530564,91992,0,622556,1968520,5,6578176,0.39
18.489,550276,92312,0,642588,1968520,5,6578176,0.86
18.589,550276,92560,0,642836,1968520,5,6578176,0.86
18.690,550276,92560,0,642836,1968520,5,6578176,0.86
18.790,550276,92560,0,642836,1968520,5,6578176,0.86
18.891,550276,92560,0,642836,1968520,5,6578176,0.86
18.991,550276,92560,0,642836,1968520,5,6578176,0.86
19.092,400900,92752,0,493652,1968520,5,34525184,0.86
19.192,410056,116080,0,526136,1968520,29,57962496,0.86
19.292,405980,112092,0,518072,1968520,37,82309120,0.86
19.393,429132,170012,0,599144,1968520,39,103198720,0.86
19.493,464540,119872,0,584412,1968520,41,126267392,0.86
19.594,463728,148864,0,612592,1968520,41,155627520,0.86
19.695,421492,214760,0,636252,1968520,41,176599040,0.86
19.796,436168,149488,0,585656,1968520,42,191279104,0.86
19.896,472980,155304,0,628284,1968520,42,214347776,0.86
19.997,431060,193072,0,624132,1968520,44,237416448,0.86
20.097,429312,255852,0,685164,1968520,44,237416448,0.86
20.198,483676,296412,0,780088,1968520,44,268873728,0.86
20.299,467440,323288,0,790728,1968520,44,291942400,0.86
20.399,445108,351760,0,796868,1968520,45,304525312,0.86
20.500,432660,410648,0,843308,1968520,45,319205376,0.7
20.600,433684,199908,0,633592,1968520,46,342274048,0.7
20.701,434712,250636,0,685348,1968520,46,361091072,0.7
20.801,435736,298228,0,733964,1968520,46,381280256,0.7
20.902,438196,350684,0,788880,1968520,46,417918976,0.7
21.003,443316,391328,0,834644,1968520,48,429887488,0.7
21.103,447412,389856,0,837268,1968520,49,449228800,0.7
21.204,448440,445320,0,893760,1968520,49,472297472,0.7
21.304,449472,488304,0,937776,1968520,49,491171840,0.7
21.405,451540,558332,0,1009872,1968520,49,510046208,0.7
21.505,452576,617544,0,1070120,1968520,49,547815424,0.7
21.606,453604,672304,0,1125908,1968520,49,579256320,0.7
21.706,511584,1335152,0,1846736,1968520,59,598786048,0.7
21.806,511584,1476332,0,1987916,1987916,59,598786048,0.7
21.907,511584,1539496,0,2051080,2051080,59,598786048,0.7
22.007,511584,1576212,0,2087796,2087796,59,598786048,0.7
22.108,511584,1616188,0,2127772,2127772,59,598786048,0.7
22.209,511584,1637924,0,2149508,2149508,59,598786048,0.7
22.309,464264,1637924,0,2102188,2148356,59,623575040,0.7
22.410,458192,1637924,0,2096116,2151436,59,638648320,0.7
22.510,513128,1637924,0,2151052,2151436,59,670105600,0.57
22.610,489400,1637924,0,2127324,2151436,59,692846592,0.57
22.711,464156,1637924,0,2102080,2151436,59,715915264,0.57
22.811,458192,1637924,0,2096116,2154864,59,738983936,0.57
22.912,518292,1637924,0,2156216,2156216,59,776208384,0.57
23.012,491208,1637924,0,2129132,2158816,59,792985600,0.57
23.112,462748,1637924,0,2100672,2158816,59,820248576,0.57
23.213,458192,1637924,0,2096116,2158816,59,830734336,0.57
23.313,512320,1637924,0,2150244,2158816,59,868483072,0.57
23.414,482416,1637924,0,2120340,2158816,59,891551744,0.57
