t,RssAnon,RssFile,RssShmem,VmRSS,VmHWM
0.001,12,0,0,12,12
0.102,9460,11840,0,21300,21300
0.202,9464,11840,0,21304,21304
0.302,9464,11840,0,21304,21304
0.403,9916,11840,0,21756,21756
0.503,9964,11840,0,21804,21804
0.603,61956,12428,0,74384,74384
0.704,147996,12684,0,160680,162500
0.804,159388,12748,0,172136,176168
0.904,96688,12748,0,109436,184088
1.004,96740,12748,0,109488,184088
1.105,96740,12748,0,109488,184088
1.205,96740,12748,0,109488,184088
1.305,96740,12748,0,109488,184088
1.406,96740,12748,0,109488,184088
1.506,96740,12748,0,109488,184088
1.606,96740,12748,0,109488,184088
1.706,108960,12748,0,121708,184088
1.807,127780,12748,0,140528,184088
1.907,146648,12748,0,159396,184088
2.007,165352,12748,0,178100,184088
2.107,184808,12748,0,197556,197556
2.208,202948,12748,0,215696,215696
2.308,221672,12748,0,234420,234420
2.408,240100,12748,0,252848,252848
2.509,252992,12748,0,265740,265740
2.609,101872,12812,0,114684,265372
2.709,120304,12812,0,133116,265372
2.809,134424,12812,0,147236,265372
2.910,148320,12812,0,161132,265372
3.010,166536,12812,0,179348,265372
3.110,184816,12812,0,197628,265372
3.211,202844,12812,0,215656,265372
3.311,221480,12812,0,234292,265372
3.411,239968,12812,0,252780,265372
3.511,268344,12812,0,281156,281156
3.612,409252,12812,0,422064,422064
3.712,447468,12812,0,460280,460280
3.812,214216,12812,0,227028,538960
3.913,370892,12812,0,383704,538960
4.013,373860,12812,0,386672,538960
4.113,398452,61964,0,460416,538960
4.214,256684,140348,0,397032,538960
4.314,311540,169132,0,480672,538960
4.414,411048,169132,0,580180,580180
4.519,452008,169132,0,621140,621140
4.619,484188,169144,0,653332,653332
4.720,491716,169144,0,660860,660860
4.820,492492,169144,0,661636,661636
4.920,493200,169144,0,662344,662344
5.021,493920,169144,0,663064,663064
5.121,494624,169144,0,663768,663768
5.221,495096,169144,0,664240,664240
5.321,495100,169144,0,664244,664244
5.422,495100,169144,0,664244,664244
5.522,495100,169144,0,664244,664244
5.622,495100,169144,0,664244,664244
5.722,495104,169144,0,664248,664248
5.823,495104,169144,0,664248,664248
5.923,495104,169144,0,664248,664248
6.023,495104,169144,0,664248,664248
6.123,495104,169144,0,664248,664248
6.223,495104,169144,0,664248,664248
6.324,495104,169144,0,664248,664248
6.424,495160,169144,0,664304,664304
6.524,495160,169144,0,664304,664304
6.625,495160,169144,0,664304,664304
6.725,495164,169144,0,664308,664308
6.825,495164,169144,0,664308,664308
6.925,495164,169144,0,664308,664308
7.025,495164,169144,0,664308,664308
7.126,495164,169144,0,664308,664308
7.226,495164,169144,0,664308,664308
7.326,222424,169144,0,391568,663624
7.427,230992,91244,0,322236,663624
7.527,257628,91244,0,348872,663624
7.627,260156,92128,0,352284,663624
7.727,242224,92384,0,334608,663624
7.828,311984,92384,0,404368,663624
7.928,239948,118956,0,358904,663624
8.028,309748,118956,0,428704,663624
8.129,324144,136844,0,460988,663624
8.229,286700,145080,0,431780,663624
8.329,324840,169552,0,494392,663624
8.430,257232,231356,0,488588,663624
8.530,313756,125284,0,439040,663624
8.630,240120,178932,0,419052,663624
8.730,295320,178932,0,474252,663624
8.831,313740,242936,0,556676,663624
8.931,291940,259420,0,551360,663624
9.031,326620,284652,0,611272,663624
9.132,262008,329996,0,592004,663624
9.232,323656,350928,0,674584,674584
9.332,250528,157820,0,408348,706116
9.433,323528,157820,0,481348,706116
9.533,329456,237908,0,567364,706116
9.633,295944,250268,0,546212,706116
9.733,330976,317064,0,648040,706116
9.834,266928,339728,0,606656,706116
9.934,328540,358852,0,687392,706116
10.035,268848,430972,0,699820,758176
10.135,336200,430972,0,767172,767172
10.235,249720,492620,0,742340,830968
10.336,318036,492620,0,810656,830968
10.436,298752,581656,0,880408,916000
10.536,302684,581656,0,884340,916000
10.636,254180,662164,0,916344,984408
10.737,326844,662164,0,989008,989008
10.837,251968,229380,0,481348,1012836
10.937,322452,229380,0,551832,1012836
11.038,241736,326772,0,568508,1012836
11.138,319392,326772,0,646164,1012836
11.238,350716,424932,0,775648,1012836
11.339,320156,426980,0,747136,1012836
11.439,263568,522076,0,785644,1012836
11.539,324756,522076,0,846832,1012836
11.639,242128,606908,0,849036,1012836
11.740,310204,606908,0,917112,1012836
11.840,275788,685612,0,961400,1012836
11.940,332072,703548,0,1035620,1035620
12.041,297212,764316,0,1061528,1095184
12.141,344720,740064,0,1084784,1118276
12.241,303812,781284,0,1085096,1124696
12.342,343484,865824,0,1209308,1209308
12.442,312532,869936,0,1182468,1212304
12.542,253532,950048,0,1203580,1291888
12.643,323316,950048,0,1273364,1291888
12.743,285532,1027856,0,1313388,1361768
12.843,340368,1071312,0,1411680,1411680
12.943,309468,1108416,0,1417884,1447856
13.044,353740,1167436,0,1521176,1521176
13.144,309632,1200556,0,1510188,1553076
13.244,355900,1244028,0,1599928,1599928
13.345,303284,242852,0,546136,1598868
13.445,361564,267588,0,629152,1598868
13.545,270440,335320,0,605760,1598868
13.646,334104,335320,0,669424,1598868
13.746,259244,421356,0,680600,1598868
13.846,339504,421356,0,760860,1598868
13.946,269952,501012,0,770964,1598868
14.047,344708,504468,0,849176,1598868
14.147,293928,581632,0,875560,1598868
14.247,359964,584164,0,944128,1598868
14.348,283864,674148,0,958012,1598868
14.448,357028,674148,0,1031176,1598868
14.548,377276,741756,0,1119032,1598868
14.649,304620,775548,0,1080168,1598868
14.749,370848,777600,0,1148448,1598868
14.849,336828,880876,0,1217704,1598868
14.949,331960,880876,0,1212836,1598868
15.050,371324,894152,0,1265476,1598868
15.150,371324,968032,0,1339356,1598868
15.250,326744,968032,0,1294776,1598868
15.350,361984,1017012,0,1378996,1598868
15.451,314568,1062328,0,1376896,1598868
15.551,351948,1128988,0,1480936,1598868
15.651,335332,1141304,0,1476636,1598868
15.751,289960,1225876,0,1515836,1598868
15.852,335204,1225876,0,1561080,1598868
15.952,352276,1310316,0,1662592,1662592
16.052,329748,1333856,0,1663604,1663604
16.153,328228,1362788,0,1691016,1691416
16.253,377832,1390172,0,1768004,1768004
16.353,377832,1627012,0,2004844,2004844
16.454,377832,1755900,0,2133732,2133732
16.554,377832,1897016,0,2274848,2274848
16.655,377832,1960144,0,2337976,2337976
16.755,377832,2173608,0,2551440,2551440
16.855,377832,2094180,0,2472012,2593688
16.956,377832,2218700,0,2596532,2596532
17.056,377832,2372764,0,2750596,2750596
17.157,377832,2454940,0,2832772,2832772
17.257,377832,2493844,0,2871676,2871676
17.358,377832,2561564,0,2939396,2939396
17.458,377832,2694768,0,3072600,3072600
17.559,377832,2494176,0,2872008,3100392
17.659,377832,2497632,0,2875464,3100392
17.759,377832,2510560,0,2888392,3100392
17.860,377832,2576108,0,2953940,3100392
17.960,377832,2617072,0,2994904,3100392
18.061,377832,2866980,0,3244812,3244812
18.161,377832,3134340,0,3512172,3512172
18.261,377832,3351964,0,3729796,3729796
18.362,377832,3509060,0,3886892,3886892
18.462,377832,3155828,0,3533660,3885844
18.562,377832,3232604,0,3610436,3885844
18.662,377832,3358796,0,3736628,3885844
18.763,377832,3501788,0,3879620,3885844
18.863,377832,3583648,0,3961480,3961480
18.964,377832,3659600,0,4037432,4037432
19.064,377832,3710512,0,4088344,4088344
19.164,377832,3894900,0,4272732,4272732
19.265,377832,4085072,0,4462904,4462904
19.365,377832,4255564,0,4633396,4633396
19.465,377832,4512444,0,4890276,4890276
19.566,377832,4693408,0,5071240,5071240
19.666,377832,4730764,0,5108596,5113104
19.766,377832,3736604,0,4114436,5113196
19.867,377832,3774840,0,4152672,5113196
19.967,377832,3824196,0,4202028,5113196
20.067,377832,3851140,0,4228972,5113196
20.167,377832,3894824,0,4272656,5113196
20.268,377832,3936236,0,4314068,5113196
20.368,377832,3972404,0,4350236,5113196
20.468,377832,3992904,0,4370736,5113196
20.569,377832,4009352,0,4387184,5113196
20.669,377832,3953072,0,4330904,5113196
20.770,377832,3977064,0,4354896,5113196
20.870,377832,4014108,0,4391940,5113196
20.971,377832,4052980,0,4430812,5113196
21.071,377832,4240724,0,4618556,5113196
21.171,377832,4352636,0,4730468,5113196
21.272,377832,4494404,0,4872236,5113196
21.372,297900,4562588,0,4860488,5113196
21.472,365504,4562492,0,4927996,5113196
21.572,300904,4568160,0,4869064,5113196
21.673,381908,4568160,0,4950068,5113196
21.773,348884,4568420,0,4917304,5113196
21.873,287836,4568708,0,4856544,5113196
21.974,368024,4568708,0,4936732,5113196
22.074,292484,4568980,0,4861464,5113196
22.174,371196,4568980,0,4940176,5113196
22.274,303800,4568764,0,4872564,5113196
22.375,374740,4568764,0,4943504,5113196
22.475,317476,4569000,0,4886476,5113196
22.575,386512,4569032,0,4955544,5113196
22.676,355716,4569220,0,4924936,5113196
22.776,327076,4569396,0,4896472,5113196
22.876,387820,4568688,0,4956508,5113196
22.977,340164,4568352,0,4908516,5113196
23.077,394512,4556520,0,4951032,5113196
23.177,448736,4556520,0,5005256,5113196
23.278,467676,4556616,0,5024292,5113196
23.378,352852,4556616,0,4909468,5113196
23.478,433508,4556616,0,4990124,5113196
23.579,507004,4556616,0,5063620,5113196
23.679,553956,4556720,0,5110676,5113196
23.779,554024,4556720,0,5110744,5113196
23.880,324700,4556720,0,4881420,5113196
23.980,391648,4556720,0,4948368,5113196
24.080,450860,4556720,0,5007580,5113196
24.181,513048,4556720,0,5069768,5113196
24.281,556176,4556872,0,5113048,5113196
24.381,323904,4556872,0,4880776,5113196
24.481,374560,4556872,0,4931432,5113196
24.582,453544,4556872,0,5010416,5113196
24.682,526936,4556872,0,5083808,5113196
24.782,561812,4556916,0,5118728,5118728
24.883,336280,4556916,0,4893196,5117784
24.983,412224,4556916,0,4969140,5117784
25.084,485956,4556916,0,5042872,5117784
25.184,559676,4556916,0,5116592,5117784
25.284,305612,4556956,0,4862568,5117784
25.384,379620,4556956,0,4936576,5117784
25.485,441748,4556956,0,4998704,5117784
25.585,497176,4556956,0,5054132,5117784
25.685,564480,4557176,0,5121656,5121656
25.786,564508,4558008,0,5122516,5122516
25.886,348924,4558008,0,4906932,5121564
25.986,407472,4558008,0,4965480,5121564
26.087,485844,4558008,0,5043852,5121564
26.187,557168,4558008,0,5115176,5121564
26.287,557196,4562220,0,5119416,5121564
26.388,320848,4562220,0,4883068,5121564
26.488,397824,4562220,0,4960044,5121564
26.588,461372,4562220,0,5023592,5121564
26.688,536528,4562220,0,5098748,5121564
26.789,563696,4563280,0,5126976,5126976
26.889,563696,4563280,0,5126976,5126976
26.989,371324,4563280,0,4934604,5125732
27.090,451260,4563280,0,5014540,5125732
27.190,526128,4563280,0,5089408,5125732
27.290,526704,4565360,0,5092064,5125732
27.391,321716,4565360,0,4887076,5125732
27.491,383940,4566656,0,4950596,5125732
27.591,320912,4566656,0,4887568,5125732
27.692,365260,4566656,0,4931916,5125732
27.792,389948,4567716,0,4957664,5125732
27.892,336992,4567716,0,4904708,5125732
27.993,285980,4630244,0,4916224,5125732
28.093,360376,4630244,0,4990620,5125732
28.193,385488,4698852,0,5084340,5125732
28.294,346488,4713188,0,5059676,5125732
28.394,381204,4749064,0,5130268,5130268
28.494,344584,4796168,0,5140752,5176108
28.594,281836,4873032,0,5154868,5255756
28.695,332132,4873032,0,5205164,5255756
28.795,374348,4873032,0,5247380,5255756
28.896,314580,4945372,0,5259952,5321740
28.996,382156,4945372,0,5327528,5327528
29.096,322424,5030800,0,5353224,5411720
29.197,373536,5060308,0,5433844,5433844
29.297,358164,5099220,0,5457384,5471636
29.397,295152,5173624,0,5468776,5547340
29.498,370752,5173624,0,5544376,5547340
29.598,320816,5253952,0,5574768,5632852
29.698,391012,5253952,0,5644964,5644964
29.799,343100,5344896,0,5687996,5734752
29.899,381268,5435916,0,5817184,5825872
29.999,325068,5435916,0,5760984,5825872
30.099,376964,5435916,0,5812880,5825872
30.200,309000,5527596,0,5836596,5908620
30.300,373300,5527596,0,5900896,5908620
30.400,305636,5623128,0,5928764,6013308
30.501,371512,5623128,0,5994640,6013308
30.601,396700,3278212,0,3674912,6047424
30.701,295940,1533316,0,1829256,6047424
30.802,370392,1533316,0,1903708,6047424
30.902,319280,1627724,0,1947004,6047424
31.002,389772,1625840,0,2015612,6047424
31.103,318408,1712192,0,2030600,6047424
31.203,367360,1771752,0,2139112,6047424
31.303,358612,1784052,0,2142664,6047424
31.404,287980,1862084,0,2150064,6047424
31.504,368868,1862084,0,2230952,6047424
31.604,311320,1947580,0,2258900,6047424
31.705,383028,1947580,0,2330608,6047424
31.805,383028,2151120,0,2534148,6047424
31.905,383028,2446884,0,2829912,6047424
32.006,383028,2744684,0,3127712,6047424
32.106,383028,2889864,0,3272892,6047424
32.206,383028,3107580,0,3490608,6047424
32.307,383028,3302168,0,3685196,6047424
32.407,383028,3402876,0,3785904,6047424
32.507,383028,3505924,0,3888952,6047424
32.608,383028,3662300,0,4045328,6047424
32.708,383028,3778500,0,4161528,6047424
32.809,383028,3862952,0,4245980,6047424
32.909,383028,2334512,0,2717540,6047424
33.009,383028,2633328,0,3016356,6047424
33.109,383028,2877004,0,3260032,6047424
33.210,383028,3135348,0,3518376,6047424
33.310,383028,3321264,0,3704292,6047424
33.410,383028,3415044,0,3798072,6047424
33.511,383028,3601016,0,3984044,6047424
33.611,383028,3848168,0,4231196,6047424
33.711,383028,4206384,0,4589412,6047424
33.812,383028,4487824,0,4870852,6047424
