arm,rows,artifacts,mask_pct,viewport_pct,depth,route,runs,setup_ms,candidacy_us_median,count_us_median,containment_us_median,cut_us_median,total_us_median,total_us_min,total_us_max,candidates,served
dispersed,100000000,1000000,25,6.25,6,settled,3,195,43745,24,0,0,43768,43194,48799,44441,44441
dispersed,100000000,1000000,25,75,4,grouped,3,0,358713,399,2,9203,368298,360494,378597,323715,97792
dispersed,100000000,1000000,25,75,4,hoisted,3,0,45789,381,2,8928,55321,53885,57159,323715,97792
dispersed,100000000,1000000,25,75,4,index,3,0,1023977,337107,1686536,0,3048644,3007799,3187369,980743,323715
dispersed,100000000,1000000,25,75,4,settled,3,195,63714,172,0,0,63916,62499,66683,323715,323715
dispersed,100000000,1000000,3.125,0.024,10,grouped,3,0,863,28,0,649,1540,1485,1750,57,57
dispersed,100000000,1000000,3.125,0.024,10,hoisted,3,0,742,27,0,638,1410,1386,1495,57,57
dispersed,100000000,1000000,3.125,0.024,10,index,3,0,6992,390,2333,0,9702,9084,10589,825,57
dispersed,100000000,1000000,3.125,0.024,10,settled,3,311,370,0,0,0,371,359,858,57,57
dispersed,100000000,1000000,3.125,0.39,8,grouped,3,0,3310,329,2,702,4343,4264,4699,657,656
dispersed,100000000,1000000,3.125,0.39,8,hoisted,3,0,2767,331,1,729,3845,3497,4657,657,656
dispersed,100000000,1000000,3.125,0.39,8,index,3,0,32017,5653,29751,0,67439,65872,70168,10749,657
dispersed,100000000,1000000,3.125,0.39,8,settled,3,311,1786,1,0,0,1787,1542,4440,657,657
dispersed,100000000,1000000,3.125,100,0,grouped,3,0,90520,763,3,3586,94847,93620,98200,46674,20472
dispersed,100000000,1000000,3.125,100,0,hoisted,3,0,21349,748,3,3289,25458,24761,27247,46674,20472
dispersed,100000000,1000000,3.125,100,0,index,3,0,1612196,523409,2703175,0,4838205,4791377,4879271,1000000,46674
dispersed,100000000,1000000,3.125,100,0,settled,3,311,564,58,0,0,626,589,759,46674,46674
dispersed,100000000,1000000,3.125,25,5,grouped,3,0,32390,719,4,1916,35035,34593,35936,16095,15839
dispersed,100000000,1000000,3.125,25,5,hoisted,3,0,11731,664,4,1826,14200,13647,15385,16095,15839
dispersed,100000000,1000000,3.125,25,5,index,3,0,496141,178527,912778,0,1587287,1572884,1596701,335568,16095
dispersed,100000000,1000000,3.125,25,5,settled,3,311,10442,41,0,0,10483,7528,11710,16095,16095
dispersed,100000000,1000000,3.125,50,4,grouped,3,0,60038,846,5,2762,63730,63148,65828,32281,31049
dispersed,100000000,1000000,3.125,50,4,hoisted,3,0,17982,809,5,2668,21464,20797,22484,32281,31049
dispersed,100000000,1000000,3.125,50,4,index,3,0,1020367,364146,1885996,0,3272241,3249150,3287309,693769,32281
dispersed,100000000,1000000,3.125,50,4,settled,3,311,15474,74,0,0,15548,13675,16447,32281,32281
dispersed,100000000,1000000,3.125,6.25,6,grouped,3,0,11206,642,3,1102,12788,11641,15486,5095,5085
dispersed,100000000,1000000,3.125,6.25,6,hoisted,3,0,5552,576,2,1014,7148,5842,9854,5095,5085
dispersed,100000000,1000000,3.125,6.25,6,index,3,0,150190,58171,292810,0,500604,495902,508295,107218,5095
dispersed,100000000,1000000,3.125,6.25,6,settled,3,311,8569,13,0,0,8582,6016,11805,5095,5095
dispersed,100000000,1000000,3.125,75,4,grouped,3,0,82386,765,5,3379,87015,85273,90195,44744,39354
dispersed,100000000,1000000,3.125,75,4,hoisted,3,0,21338,795,5,3316,25520,25074,26465,44744,39354
dispersed,100000000,1000000,3.125,75,4,index,3,0,1456682,504018,2595119,0,4554157,4533042,4591011,962105,44744
dispersed,100000000,1000000,3.125,75,4,settled,3,311,13131,108,0,0,13227,12346,14559,44744,44744
dispersed,100000000,1000000,50,0.024,10,grouped,3,0,4139,280,1,742,5151,4672,5745,1184,1184
dispersed,100000000,1000000,50,0.024,10,hoisted,3,0,1894,294,2,757,2954,2386,3719,1184,1184
dispersed,100000000,1000000,50,0.024,10,index,3,0,6487,510,3228,0,10195,9494,10965,1980,1184
dispersed,100000000,1000000,50,0.024,10,settled,3,175,3235,1,0,0,3236,2902,4630,1184,1184
dispersed,100000000,1000000,50,0.39,8,grouped,3,0,23330,403,3,1119,24854,23572,25831,11146,10944
dispersed,100000000,1000000,50,0.39,8,hoisted,3,0,10163,393,3,1092,11651,11387,12139,11146,10944
dispersed,100000000,1000000,50,0.39,8,index,3,0,30252,7100,31800,0,69152,67505,73180,18761,11146
dispersed,100000000,1000000,50,0.39,8,settled,3,175,21345,8,0,0,21352,20810,22178,11146,11146
dispersed,100000000,1000000,50,100,0,grouped,3,0,715087,371,2,11736,727061,714955,761272,589897,593
dispersed,100000000,1000000,50,100,0,hoisted,3,0,51955,376,1,11578,63895,63248,68457,589897,593
dispersed,100000000,1000000,50,100,0,index,3,0,1146378,358372,1580739,0,3085488,3010958,3130810,1000000,589897
dispersed,100000000,1000000,50,100,0,settled,3,175,7940,163,0,0,8129,7958,9021,589897,589897
dispersed,100000000,1000000,50,25,5,grouped,3,0,232726,427,2,5845,239005,235654,246567,225489,191244
dispersed,100000000,1000000,50,25,5,hoisted,3,0,30898,413,1,5881,37194,36690,39161,225489,191244
dispersed,100000000,1000000,50,25,5,index,3,0,370794,137315,609440,0,1118242,1057737,1135494,382226,225489
dispersed,100000000,1000000,50,25,5,settled,3,175,79533,74,0,0,79615,78103,82052,225489,225489
dispersed,100000000,1000000,50,50,4,grouped,3,0,461736,375,2,9431,471503,461805,476776,424822,200665
dispersed,100000000,1000000,50,50,4,hoisted,3,0,45902,361,2,9415,55677,54964,57238,424822,200665
dispersed,100000000,1000000,50,50,4,index,3,0,753326,258610,1128814,0,2139318,2104872,2214242,719192,424822
dispersed,100000000,1000000,50,50,4,settled,3,175,126428,140,0,0,126674,123576,128287,424822,424822
dispersed,100000000,1000000,50,6.25,6,grouped,3,0,79480,403,2,2674,82592,80736,83457,79143,77157
dispersed,100000000,1000000,50,6.25,6,hoisted,3,0,18001,391,2,2667,21066,20763,27668,79143,77157
dispersed,100000000,1000000,50,6.25,6,index,3,0,121092,48375,214728,0,385609,379328,391527,133992,79143
dispersed,100000000,1000000,50,6.25,6,settled,3,175,70093,29,0,0,70123,68058,74759,79143,79143
dispersed,100000000,1000000,50,75,4,grouped,3,0,643811,395,2,11873,655940,649963,666830,578580,54744
dispersed,100000000,1000000,50,75,4,hoisted,3,0,55045,372,2,11770,67385,66267,69979,578580,54744
