arm,rows,artifacts,mask_pct,viewport_pct,depth,route,runs,setup_ms,candidacy_us_median,count_us_median,containment_us_median,cut_us_median,total_us_median,total_us_min,total_us_max,candidates,served
dispersed,100000000,1000000,100,0.024,10,grouped,3,0,3750,198,1,719,4665,4383,5438,1606,1606
dispersed,100000000,1000000,100,0.024,10,hoisted,3,0,1378,192,1,738,2312,1917,2839,1606,1606
dispersed,100000000,1000000,100,0.024,10,index,3,0,3742,236,1064,0,5042,4502,6229,1606,1606
dispersed,100000000,1000000,100,0.024,10,settled,3,97,3619,2,0,0,3621,3381,4143,1606,1606
dispersed,100000000,1000000,100,0.39,8,grouped,3,0,21117,255,3,1184,22595,21203,24272,15685,15133
dispersed,100000000,1000000,100,0.39,8,hoisted,3,0,7064,243,2,1076,8411,7451,12570,15685,15133
dispersed,100000000,1000000,100,0.39,8,index,3,0,20286,3447,10888,0,34616,32578,37685,15685,15685
dispersed,100000000,1000000,100,0.39,8,settled,3,97,20820,8,0,0,20839,19934,22300,15685,15685
dispersed,100000000,1000000,100,100,0,grouped,3,0,1017392,253,1,4644,1022290,987089,1095171,1000000,729
dispersed,100000000,1000000,100,100,0,hoisted,3,0,42310,250,1,310,42848,40528,54489,1000000,729
dispersed,100000000,1000000,100,100,0,index,3,0,1013728,227023,737814,0,1978566,1839225,2115051,1000000,1000000
dispersed,100000000,1000000,100,100,0,settled,3,97,13282,283,0,0,13566,13118,15682,1000000,1000000
dispersed,100000000,1000000,100,25,5,grouped,3,0,319806,245,1,7014,326936,316271,334549,366666,274097
dispersed,100000000,1000000,100,25,5,hoisted,3,0,26133,238,1,6975,33347,30232,33935,366666,274097
dispersed,100000000,1000000,100,25,5,index,3,0,321659,86204,273466,0,681329,664226,726086,366666,366666
dispersed,100000000,1000000,100,25,5,settled,3,97,100521,101,0,0,100620,99269,105351,366666,366666
dispersed,100000000,1000000,100,50,4,grouped,3,0,642388,197,1,11017,653640,646207,711904,703482,176613
dispersed,100000000,1000000,100,50,4,hoisted,3,0,38535,203,1,10994,49762,48303,53366,703482,176613
dispersed,100000000,1000000,100,50,4,index,3,0,636808,158939,521329,0,1320295,1305479,1423371,703482,703482
dispersed,100000000,1000000,100,50,4,settled,3,97,155507,207,0,0,155839,153837,168645,703482,703482
dispersed,100000000,1000000,100,6.25,6,grouped,3,0,96633,226,1,3063,99924,94053,108115,125261,120673
dispersed,100000000,1000000,100,6.25,6,hoisted,3,0,13937,224,1,2943,17124,16100,19441,125261,120673
dispersed,100000000,1000000,100,6.25,6,index,3,0,98346,28346,92364,0,219057,201185,223157,125261,125261
dispersed,100000000,1000000,100,6.25,6,settled,3,97,85247,35,0,0,85282,78836,87138,125261,125261
dispersed,100000000,1000000,100,75,4,grouped,3,0,887492,204,1,13065,900762,849746,930991,970293,20715
dispersed,100000000,1000000,100,75,4,hoisted,3,0,46874,207,1,13336,60421,55316,62274,970293,20715
dispersed,100000000,1000000,100,75,4,index,3,0,906191,220387,715091,0,1849325,1714935,1983756,970293,970293
dispersed,100000000,1000000,100,75,4,settled,3,97,144843,273,0,0,145104,134121,148017,970293,970293
dispersed,100000000,1000000,25,0.024,10,grouped,3,0,1961,135,1,727,2825,2678,3288,558,558
dispersed,100000000,1000000,25,0.024,10,hoisted,3,0,1016,129,1,701,1857,1711,2413,558,558
dispersed,100000000,1000000,25,0.024,10,index,3,0,4499,413,2816,0,7782,6787,8556,1598,558
dispersed,100000000,1000000,25,0.024,10,settled,3,186,1917,1,0,0,1918,1481,2940,558,558
dispersed,100000000,1000000,25,0.39,8,grouped,3,0,14545,372,2,979,15898,15162,17262,5349,5280
dispersed,100000000,1000000,25,0.39,8,hoisted,3,0,8513,366,2,960,9841,8980,11283,5349,5280
dispersed,100000000,1000000,25,0.39,8,index,3,0,22105,5357,28654,0,56087,54382,59309,15677,5349
dispersed,100000000,1000000,25,0.39,8,settled,3,186,13965,6,0,0,13971,12849,14670,5349,5349
