arm,rows,artifacts,mask_pct,viewport_pct,depth,route,runs,setup_ms,candidacy_us_median,count_us_median,containment_us_median,cut_us_median,total_us_median,total_us_min,total_us_max,candidates,served
dispersed,100000000,1000000,100,0.024,10,grouped,3,0,6636,264,1,874,7774,7166,10010,2357,2357
dispersed,100000000,1000000,100,0.024,10,hoisted,3,0,2459,265,1,836,3559,3220,4549,2357,2357
dispersed,100000000,1000000,100,0.024,10,index,3,0,6675,517,1569,0,8742,8405,10552,2357,2357
dispersed,100000000,1000000,100,0.024,10,settled,3,96,6411,3,0,0,6414,5835,6893,2357,2357
dispersed,100000000,1000000,100,0.39,8,grouped,3,0,33334,295,4,1300,34932,33814,36854,21865,21130
dispersed,100000000,1000000,100,0.39,8,hoisted,3,0,9950,283,3,1234,11471,11027,12724,21865,21130
dispersed,100000000,1000000,100,0.39,8,index,3,0,32942,6015,16114,0,54715,53571,59330,21865,21865
dispersed,100000000,1000000,100,0.39,8,settled,3,96,33103,12,0,0,33114,31404,41576,21865,21865
dispersed,100000000,1000000,100,100,0,grouped,3,0,1351839,289,1,317,1352444,1260207,1370366,1000000,729
dispersed,100000000,1000000,100,100,0,hoisted,3,0,35648,282,1,303,36244,35648,38781,1000000,729
dispersed,100000000,1000000,100,100,0,index,3,0,1344432,278250,745076,0,2362254,2321691,2462117,1000000,1000000
dispersed,100000000,1000000,100,100,0,settled,3,96,13792,230,0,0,14022,13167,15036,1000000,1000000
dispersed,100000000,1000000,100,25,5,grouped,3,0,426228,289,1,7457,433999,407404,440924,396688,293631
dispersed,100000000,1000000,100,25,5,hoisted,3,0,27115,277,1,7542,34936,32353,36847,396688,293631
dispersed,100000000,1000000,100,25,5,index,3,0,423372,110997,293199,0,830851,812266,836287,396688,396688
dispersed,100000000,1000000,100,25,5,settled,3,96,147936,122,0,0,148042,146221,152108,396688,396688
dispersed,100000000,1000000,100,50,4,grouped,3,0,856208,256,1,12398,867784,832190,909167,734946,146663
dispersed,100000000,1000000,100,50,4,hoisted,3,0,35510,253,1,11370,47828,45544,48945,734946,146663
dispersed,100000000,1000000,100,50,4,index,3,0,858265,204905,538937,0,1604495,1581226,1650576,734946,734946
dispersed,100000000,1000000,100,50,4,settled,3,96,264189,188,0,0,264373,259260,278958,734946,734946
dispersed,100000000,1000000,100,6.25,6,grouped,3,0,138314,289,1,3564,142026,131952,146463,141874,134664
dispersed,100000000,1000000,100,6.25,6,hoisted,3,0,16992,278,1,3386,20617,20110,22270,141874,134664
dispersed,100000000,1000000,100,6.25,6,index,3,0,132891,39355,109746,0,282946,260762,292516,141874,141874
dispersed,100000000,1000000,100,6.25,6,settled,3,96,129273,40,0,0,129313,118131,140401,141874,141874
dispersed,100000000,1000000,100,75,4,grouped,3,0,1206426,265,1,13468,1220733,1146062,1245947,991262,9021
dispersed,100000000,1000000,100,75,4,hoisted,3,0,42171,263,1,13139,55575,51789,57464,991262,9021
dispersed,100000000,1000000,100,75,4,index,3,0,1201724,282401,733733,0,2215297,2142721,2296521,991262,991262
dispersed,100000000,1000000,100,75,4,settled,3,96,238389,264,0,0,238641,234915,245404,991262,991262
dispersed,100000000,1000000,25,0.024,10,grouped,3,0,3679,290,1,802,4830,3820,8310,797,797
dispersed,100000000,1000000,25,0.024,10,hoisted,3,0,2242,257,1,708,3183,2504,5811,797,797
dispersed,100000000,1000000,25,0.024,10,index,3,0,6744,739,4237,0,11861,11080,14435,2333,797
dispersed,100000000,1000000,25,0.024,10,settled,3,182,4050,2,0,0,4053,2175,4618,797,797
dispersed,100000000,1000000,25,0.39,8,grouped,3,0,22223,452,3,1075,23784,22250,24334,7396,7308
dispersed,100000000,1000000,25,0.39,8,hoisted,3,0,13032,417,3,1084,14537,13460,15506,7396,7308
dispersed,100000000,1000000,25,0.39,8,index,3,0,32618,8513,39440,0,80902,79471,85367,21801,7396
dispersed,100000000,1000000,25,0.39,8,settled,3,182,20368,7,0,0,20375,19173,20903,7396,7396
dispersed,100000000,1000000,25,100,0,grouped,3,0,442508,397,2,8494,451400,443379,454683,330088,356
dispersed,100000000,1000000,25,100,0,hoisted,3,0,49298,421,2,8435,58155,57083,60308,330088,356
dispersed,100000000,1000000,25,100,0,index,3,0,1262746,367507,1779908,0,3430954,3367885,3592659,1000000,330088
dispersed,100000000,1000000,25,100,0,settled,3,182,4504,163,0,0,4612,4509,4731,330088,330088
dispersed,100000000,1000000,25,25,5,grouped,3,0,153716,475,2,4334,158507,155410,161446,131135,120044
dispersed,100000000,1000000,25,25,5,hoisted,3,0,30783,470,2,4303,35596,35241,37525,131135,120044
dispersed,100000000,1000000,25,25,5,index,3,0,407033,147487,711759,0,1268673,1253132,1341385,396574,131135
dispersed,100000000,1000000,25,25,5,settled,3,182,58513,69,0,0,58583,58045,59916,131135,131135
dispersed,100000000,1000000,25,50,4,grouped,3,0,298385,443,2,7105,306142,288646,311807,243095,162861
dispersed,100000000,1000000,25,50,4,hoisted,3,0,44483,440,2,7153,52303,48423,54260,243095,162861
dispersed,100000000,1000000,25,50,4,index,3,0,821599,270656,1314677,0,2406694,2328265,2493933,734863,243095
dispersed,100000000,1000000,25,50,4,settled,3,182,93382,138,0,0,93520,89528,96334,243095,243095
dispersed,100000000,1000000,25,6.25,6,grouped,3,0,57437,446,2,2155,60079,58667,61024,47015,46240
dispersed,100000000,1000000,25,6.25,6,hoisted,3,0,18617,428,2,2129,21195,20702,21756,47015,46240
dispersed,100000000,1000000,25,6.25,6,index,3,0,137557,55328,256019,0,445983,433535,482315,141816,47015
dispersed,100000000,1000000,25,6.25,6,settled,3,182,51910,27,0,0,51936,50499,56102,47015,47015
dispersed,100000000,1000000,25,75,4,grouped,3,0,407168,407,2,9138,416715,404113,435509,327187,87968
dispersed,100000000,1000000,25,75,4,hoisted,3,0,49633,413,2,9025,58994,58334,62686,327187,87968
dispersed,100000000,1000000,25,75,4,index,3,0,1150877,363527,1780397,0,3297719,3170147,3376552,991207,327187
dispersed,100000000,1000000,25,75,4,settled,3,182,80890,175,0,0,81066,78234,82678,327187,327187
dispersed,100000000,1000000,3.125,0.024,10,grouped,3,0,1065,36,0,666,1782,1656,2022,65,65
dispersed,100000000,1000000,3.125,0.024,10,hoisted,3,0,898,33,0,647,1580,1533,1632,65,65
dispersed,100000000,1000000,3.125,0.024,10,index,3,0,6754,440,2420,0,9785,8991,11478,810,65
dispersed,100000000,1000000,3.125,0.024,10,settled,3,328,731,0,0,0,731,423,1762,65,65
dispersed,100000000,1000000,3.125,0.39,8,grouped,3,0,4310,422,2,738,5439,5136,6789,715,714
dispersed,100000000,1000000,3.125,0.39,8,hoisted,3,0,4686,419,2,797,5851,4241,8094,715,714
dispersed,100000000,1000000,3.125,0.39,8,index,3,0,33487,6643,32225,0,71877,70624,78896,11243,715
dispersed,100000000,1000000,3.125,0.39,8,settled,3,328,4295,2,0,0,4298,2008,5640,715,715
dispersed,100000000,1000000,3.125,100,0,grouped,3,0,93729,767,3,4060,98271,97737,101989,46674,20472
dispersed,100000000,1000000,3.125,100,0,hoisted,3,0,22247,761,3,3968,26949,26349,27432,46674,20472
dispersed,100000000,1000000,3.125,100,0,index,3,0,1672032,563519,2743215,0,4980038,4956349,5005200,1000000,46674
dispersed,100000000,1000000,3.125,100,0,settled,3,328,577,93,0,0,671,593,920,46674,46674
dispersed,100000000,1000000,3.125,25,5,grouped,3,0,34307,841,4,1992,37161,35667,37801,16208,15949
dispersed,100000000,1000000,3.125,25,5,hoisted,3,0,12979,702,3,1870,15460,14252,17978,16208,15949
dispersed,100000000,1000000,3.125,25,5,index,3,0,518536,195345,938351,0,1651520,1637392,1660202,338214,16208
dispersed,100000000,1000000,3.125,25,5,settled,3,328,11845,43,0,0,11887,10214,12964,16208,16208
dispersed,100000000,1000000,3.125,50,4,grouped,3,0,63689,823,5,3208,67781,64985,71902,32883,31579
dispersed,100000000,1000000,3.125,50,4,hoisted,3,0,18813,794,4,3290,22621,21790,23648,32883,31579
dispersed,100000000,1000000,3.125,50,4,index,3,0,1065769,405068,1943362,0,3412832,3274075,3464189,704869,32883
dispersed,100000000,1000000,3.125,50,4,settled,3,328,19112,85,0,0,19197,17783,20327,32883,32883
dispersed,100000000,1000000,3.125,6.25,6,grouped,3,0,13289,660,3,1291,15059,13498,16042,5230,5220
dispersed,100000000,1000000,3.125,6.25,6,hoisted,3,0,6810,686,3,1112,8677,6805,9343,5230,5220
dispersed,100000000,1000000,3.125,6.25,6,index,3,0,158850,63849,303480,0,525502,520919,537899,109215,5230
dispersed,100000000,1000000,3.125,6.25,6,settled,3,328,10062,15,0,0,10077,7947,12028,5230,5230
dispersed,100000000,1000000,3.125,75,4,grouped,3,0,86253,798,4,4288,91432,89723,93970,45220,39444
dispersed,100000000,1000000,3.125,75,4,hoisted,3,0,22497,810,4,4080,27371,26646,28127,45220,39444
dispersed,100000000,1000000,3.125,75,4,index,3,0,1510491,549026,2667478,0,4712545,4668229,4736472,971188,45220
dispersed,100000000,1000000,3.125,75,4,settled,3,328,16065,119,0,0,16177,15943,16756,45220,45220
dispersed,100000000,1000000,50,0.024,10,grouped,3,0,4791,367,2,859,6068,5566,6963,1410,1410
dispersed,100000000,1000000,50,0.024,10,hoisted,3,0,1879,328,2,797,3004,2669,3909,1410,1410
dispersed,100000000,1000000,50,0.024,10,index,3,0,6779,720,3827,0,11311,10248,12037,2349,1410
dispersed,100000000,1000000,50,0.024,10,settled,3,176,4583,3,0,0,4586,3478,5118,1410,1410
