tier,rung,terms,analytic_fraction,visible,measured_fraction
ceiling,0.9375,131072,0.9375,9375624,0.9375624
ceiling,0.75,65536,0.75,7501541,0.7501541
ceiling,0.5,38390,0.49999892129562795,4999670,0.499967
ceiling,0.25,17560,0.24999579414725304,2500555,0.2500555
ceiling,0.094,6312,0.09399440512061119,940803,0.0940803
ceiling,0.031,2048,0.031005859375,311288,0.0311288
ceiling,single-term,1,1.5258730854839087e-05,160,1.6e-05
