tier,concurrency,breadth,requests,p50_ms,p99_ms
1e7,1,0.9375,303,144.77,184.87
1e7,8,0.031,1042,308.16,513.83
1e7,8,0.25,179,129.23,548.56
1e7,8,0.9375,90,506.53,615.09
1e7,32,0.031,1068,1423.65,1978.38
1e7,32,0.25,206,1792.66,2136.8
1e7,32,0.9375,64,1810.47,2180.12
1e7,128,0.031,658,9356.63,13415.22
1e7,128,0.25,146,11462.14,13839.74
1e7,128,0.9375,41,12902.45,13845.92
