arm,rows,artifacts,mask_pct,viewport_pct,depth,route,runs,setup_ms,candidacy_us_median,count_us_median,containment_us_median,cut_us_median,total_us_median,total_us_min,total_us_max,candidates,served
dispersed,100000000,1000000,100,0.024,10,grouped,3,0,4715,232,1,759,5767,3720,7935,1236,1236
dispersed,100000000,1000000,100,0.024,10,hoisted,3,0,1940,175,1,702,2813,1755,4128,1236,1236
dispersed,100000000,1000000,100,0.024,10,index,3,0,4463,198,856,0,5533,4072,6732,1236,1236
dispersed,100000000,1000000,100,0.024,10,settled,3,106,3241,1,0,0,3243,2886,6252,1236,1236
dispersed,100000000,1000000,100,0.39,8,grouped,3,0,27386,274,2,1039,28701,27773,29560,12600,12231
dispersed,100000000,1000000,100,0.39,8,hoisted,3,0,12342,245,2,1019,13606,12841,17617,12600,12231
dispersed,100000000,1000000,100,0.39,8,index,3,0,26750,3363,9054,0,39060,36931,40817,12600,12600
dispersed,100000000,1000000,100,0.39,8,settled,3,106,28929,7,0,0,28937,27953,30019,12600,12600
dispersed,100000000,1000000,100,100,0,grouped,3,0,856286,268,1,321,856852,848525,878940,1000000,729
dispersed,100000000,1000000,100,100,0,hoisted,3,0,103456,291,1,311,104114,102428,108866,1000000,729
dispersed,100000000,1000000,100,100,0,index,3,0,845039,277350,762482,0,1887280,1826299,1905663,1000000,1000000
dispersed,100000000,1000000,100,100,0,settled,3,106,12897,281,0,0,13221,12924,13989,1000000,1000000
dispersed,100000000,1000000,100,25,5,grouped,3,0,280522,298,1,6449,287311,283017,291529,347001,259676
dispersed,100000000,1000000,100,25,5,hoisted,3,0,53593,286,1,6649,60684,59649,63526,347001,259676
dispersed,100000000,1000000,100,25,5,index,3,0,282380,95944,264427,0,647187,631063,675837,347001,347001
dispersed,100000000,1000000,100,25,5,settled,3,106,93202,89,0,0,93291,91352,96114,347001,347001
dispersed,100000000,1000000,100,50,4,grouped,3,0,576395,234,1,11144,587775,562864,599772,681456,197589
dispersed,100000000,1000000,100,50,4,hoisted,3,0,84630,229,1,10600,95459,94046,100711,681456,197589
dispersed,100000000,1000000,100,50,4,index,3,0,551539,190385,526717,0,1272096,1256609,1298456,681456,681456
dispersed,100000000,1000000,100,50,4,settled,3,106,122210,186,0,0,122385,120825,132474,681456,681456
dispersed,100000000,1000000,100,6.25,6,grouped,3,0,94517,283,1,2903,97623,95974,100484,113462,110185
dispersed,100000000,1000000,100,6.25,6,hoisted,3,0,27320,279,1,2868,30457,29830,31396,113462,110185
dispersed,100000000,1000000,100,6.25,6,index,3,0,94421,31165,85415,0,210795,209527,216734,113462,113462
dispersed,100000000,1000000,100,6.25,6,settled,3,106,78415,32,0,0,78448,76064,85153,113462,113462
dispersed,100000000,1000000,100,75,4,grouped,3,0,776656,256,1,13177,790090,777561,796527,950993,25957
dispersed,100000000,1000000,100,75,4,hoisted,3,0,107062,264,1,12948,120437,119013,123281,950993,25957
dispersed,100000000,1000000,100,75,4,index,3,0,764466,263579,730422,0,1759765,1720443,1826550,950993,950993
dispersed,100000000,1000000,100,75,4,settled,3,106,108594,257,0,0,109020,106003,112356,950993,950993
dispersed,100000000,1000000,25,0.024,10,grouped,3,0,1503,107,1,689,2330,2144,3386,431,431
dispersed,100000000,1000000,25,0.024,10,hoisted,3,0,716,105,1,654,1463,1416,1595,431,431
dispersed,100000000,1000000,25,0.024,10,index,3,0,4345,263,2009,0,6643,5085,7837,1228,431
dispersed,100000000,1000000,25,0.024,10,settled,3,192,1140,0,0,0,1141,1090,1357,431,431
dispersed,100000000,1000000,25,0.39,8,grouped,3,0,11283,567,3,951,12821,10644,14276,4309,4261
dispersed,100000000,1000000,25,0.39,8,hoisted,3,0,6310,373,2,854,7533,5862,8660,4309,4261
dispersed,100000000,1000000,25,0.39,8,index,3,0,28251,5892,22215,0,56427,55172,59202,12591,4309
dispersed,100000000,1000000,25,0.39,8,settled,3,192,11382,5,0,0,11397,10378,11980,4309,4309
dispersed,100000000,1000000,25,100,0,grouped,3,0,331643,538,2,8472,340653,325691,346244,330088,356
dispersed,100000000,1000000,25,100,0,hoisted,3,0,83069,530,2,8539,92147,88855,92888,330088,356
dispersed,100000000,1000000,25,100,0,index,3,0,888180,428954,1691855,0,3008728,2871721,3051024,1000000,330088
dispersed,100000000,1000000,25,100,0,settled,3,192,4196,144,0,0,4387,4209,5347,330088,330088
dispersed,100000000,1000000,25,25,5,grouped,3,0,113002,576,2,3940,117548,114867,120427,114841,105444
dispersed,100000000,1000000,25,25,5,hoisted,3,0,36132,568,2,3937,40643,40304,41660,114841,105444
dispersed,100000000,1000000,25,25,5,index,3,0,289943,150913,588686,0,1029515,1013905,1060196,347001,114841
dispersed,100000000,1000000,25,25,5,settled,3,192,36183,60,0,0,36246,35518,37874,114841,114841
dispersed,100000000,1000000,25,50,4,grouped,3,0,218511,549,2,6727,225648,221259,238031,225569,161010
dispersed,100000000,1000000,25,50,4,hoisted,3,0,62357,555,2,6740,69654,68207,71440,225569,161010
dispersed,100000000,1000000,25,50,4,index,3,0,569417,293506,1162412,0,2025637,1935483,2035017,681456,225569
dispersed,100000000,1000000,25,50,4,settled,3,192,47135,109,0,0,47244,45456,47540,225569,225569
dispersed,100000000,1000000,25,6.25,6,grouped,3,0,39543,575,2,1925,42058,41304,42800,37768,37407
dispersed,100000000,1000000,25,6.25,6,hoisted,3,0,15931,468,1,1809,18211,17111,19153,37768,37407
dispersed,100000000,1000000,25,6.25,6,index,3,0,99278,50425,192245,0,341146,338319,352322,113462,37768
dispersed,100000000,1000000,25,6.25,6,settled,3,192,31196,21,0,0,31217,30617,32490,37768,37768
dispersed,100000000,1000000,25,75,4,grouped,3,0,303984,576,2,8974,313521,309863,325599,313906,117805
dispersed,100000000,1000000,25,75,4,hoisted,3,0,81239,574,2,9095,90758,90074,98115,313906,117805
dispersed,100000000,1000000,25,75,4,index,3,0,808532,411208,1606439,0,2823086,2756157,2874643,950993,313906
dispersed,100000000,1000000,25,75,4,settled,3,192,41975,156,0,0,42131,41579,46286,313906,313906
dispersed,100000000,1000000,3.125,0.024,10,grouped,3,0,545,16,0,619,1181,1082,1356,39,39
dispersed,100000000,1000000,3.125,0.024,10,hoisted,3,0,451,16,0,631,1099,1033,1129,39,39
dispersed,100000000,1000000,3.125,0.024,10,index,3,0,4562,254,1925,0,6795,5428,9286,715,39
dispersed,100000000,1000000,3.125,0.024,10,settled,3,295,233,0,0,0,233,216,431,39,39
dispersed,100000000,1000000,3.125,0.39,8,grouped,3,0,1934,217,1,676,2839,2669,3601,493,492
dispersed,100000000,1000000,3.125,0.39,8,hoisted,3,0,1547,212,1,657,2415,2223,3484,493,492
dispersed,100000000,1000000,3.125,0.39,8,index,3,0,29357,4754,23952,0,58517,54490,59292,8722,493
dispersed,100000000,1000000,3.125,0.39,8,settled,3,295,1355,1,0,0,1357,1001,3006,493,493
dispersed,100000000,1000000,3.125,100,0,grouped,3,0,81128,917,3,3458,85571,84275,87100,46674,20472
dispersed,100000000,1000000,3.125,100,0,hoisted,3,0,29388,906,3,3301,33572,32377,37273,46674,20472
dispersed,100000000,1000000,3.125,100,0,index,3,0,1358190,572306,2684316,0,4616056,4459920,4733145,1000000,46674
dispersed,100000000,1000000,3.125,100,0,settled,3,295,564,64,0,0,624,580,720,46674,46674
dispersed,100000000,1000000,3.125,25,5,grouped,3,0,27703,901,3,1814,30421,29085,31412,15432,15188
dispersed,100000000,1000000,3.125,25,5,hoisted,3,0,12151,778,3,1692,14625,13923,15443,15432,15188
dispersed,100000000,1000000,3.125,25,5,index,3,0,419720,187665,860765,0,1468150,1445608,1587882,322446,15432
dispersed,100000000,1000000,3.125,25,5,settled,3,295,5458,26,0,0,5484,4712,11254,15432,15432
dispersed,100000000,1000000,3.125,50,4,grouped,3,0,53542,961,4,2863,57370,55274,63348,30536,29473
dispersed,100000000,1000000,3.125,50,4,hoisted,3,0,21125,1009,4,2828,25049,24131,27305,30536,29473
dispersed,100000000,1000000,3.125,50,4,index,3,0,862701,382434,1778937,0,3020227,2800707,3119358,660112,30536
dispersed,100000000,1000000,3.125,50,4,settled,3,295,9403,70,0,0,9472,6630,10928,30536,30536
dispersed,100000000,1000000,3.125,6.25,6,grouped,3,0,7717,488,2,976,9219,8482,10011,4618,4613
dispersed,100000000,1000000,3.125,6.25,6,hoisted,3,0,3265,468,1,917,4619,4323,6907,4618,4613
dispersed,100000000,1000000,3.125,6.25,6,index,3,0,131275,59002,261911,0,452779,442885,459469,98361,4618
dispersed,100000000,1000000,3.125,6.25,6,settled,3,295,4603,10,0,0,4613,3988,7215,4618,4618
dispersed,100000000,1000000,3.125,75,4,grouped,3,0,73467,966,5,3449,78191,76803,80720,43167,38857
dispersed,100000000,1000000,3.125,75,4,hoisted,3,0,27452,959,5,3282,31940,31398,32813,43167,38857
dispersed,100000000,1000000,3.125,75,4,index,3,0,1216202,535828,2500205,0,4251893,4080051,4468885,930117,43167
dispersed,100000000,1000000,3.125,75,4,settled,3,295,7817,92,0,0,7908,6617,10128,43167,43167
dispersed,100000000,1000000,50,0.024,10,grouped,3,0,2243,187,1,808,3243,2946,3828,746,746
dispersed,100000000,1000000,50,0.024,10,hoisted,3,0,860,165,1,665,1707,1609,2013,746,746
dispersed,100000000,1000000,50,0.024,10,index,3,0,3290,265,1642,0,5207,4774,7036,1232,746
dispersed,100000000,1000000,50,0.024,10,settled,3,173,1854,1,0,0,1855,1781,2188,746,746
dispersed,100000000,1000000,50,0.39,8,grouped,3,0,18563,511,3,1026,20062,17068,21334,7540,7405
dispersed,100000000,1000000,50,0.39,8,hoisted,3,0,9234,459,2,945,10656,9497,11596,7540,7405
dispersed,100000000,1000000,50,0.39,8,index,3,0,27915,5561,20516,0,54278,52831,57099,12596,7540
dispersed,100000000,1000000,50,0.39,8,settled,3,173,18949,5,0,0,18954,15599,19550,7540,7540
dispersed,100000000,1000000,50,100,0,grouped,3,0,576599,514,1,11841,589546,583007,606325,589897,593
dispersed,100000000,1000000,50,100,0,hoisted,3,0,107673,506,1,11723,119692,118457,121262,589897,593
dispersed,100000000,1000000,50,100,0,index,3,0,894539,440342,1561044,0,2895926,2751435,2940191,1000000,589897
dispersed,100000000,1000000,50,100,0,settled,3,173,7755,191,0,0,7921,7832,8495,589897,589897
dispersed,100000000,1000000,50,25,5,grouped,3,0,191593,502,2,5350,197461,191752,200302,204787,174197
dispersed,100000000,1000000,50,25,5,hoisted,3,0,48589,499,2,5351,54732,53415,55825,204787,174197
dispersed,100000000,1000000,50,25,5,index,3,0,295364,154420,535036,0,986743,953826,1016954,347001,204787
dispersed,100000000,1000000,50,25,5,settled,3,173,61170,69,0,0,61240,59298,62066,204787,204787
dispersed,100000000,1000000,50,50,4,grouped,3,0,378428,481,2,9152,388288,382358,390438,402600,209447
dispersed,100000000,1000000,50,50,4,hoisted,3,0,82457,484,2,9050,91993,90896,93443,402600,209447
dispersed,100000000,1000000,50,50,4,index,3,0,590873,302903,1069120,0,1964721,1926582,2023803,681456,402600
dispersed,100000000,1000000,50,50,4,settled,3,173,79753,135,0,0,79887,78319,82221,402600,402600
dispersed,100000000,1000000,50,6.25,6,grouped,3,0,66239,506,2,2425,69114,67701,75189,67182,66069
dispersed,100000000,1000000,50,6.25,6,hoisted,3,0,22792,500,2,2401,25726,24930,26784,67182,66069
dispersed,100000000,1000000,50,6.25,6,index,3,0,100746,50666,181170,0,333284,315883,351439,113462,67182
dispersed,100000000,1000000,50,6.25,6,settled,3,173,52145,25,0,0,52170,50984,53463,67182,67182
dispersed,100000000,1000000,50,75,4,grouped,3,0,526993,507,2,11817,539388,523975,547083,561109,81967
dispersed,100000000,1000000,50,75,4,hoisted,3,0,106489,501,2,11802,118982,116143,120559,561109,81967
dispersed,100000000,1000000,50,75,4,index,3,0,822509,421286,1474435,0,2708809,2649851,2804826,950993,561109
dispersed,100000000,1000000,50,75,4,settled,3,173,72091,220,0,0,72274,69749,73451,561109,561109
dispersed,100000000,1000000,75,0.024,10,grouped,3,0,2844,260,1,733,3958,3649,5980,1030,1030
