tier,concurrency,mix,layer,seconds,requests,throughput_rps,p50_ms,p99_ms,max_ms,errors,server_peak_rss_bytes,server_cores_busy,server_cpu_per_request,bytes_per_second,authorise_seconds,gate_shed_total,gate_admission,gate_queue,projection_cache,fragment_cache
5e7,1,"{""0.9375"": 1}",generator/partition-attribute,45.29,46,1.02,736.18,11360.02,11360.02,0,13903872000,1.02,0.9996,57153495,0.05,0,48,96,"{""bound_bytes"": 2147483648, ""building_refusals"": 0, ""bytes"": 6256608, ""entries"": 1, ""evictions"": 0, ""hits"": 45, ""misses"": 1, ""oversized_admissions"": 0, ""thrashing"": false, ""waiters_now"": 0, ""waits_satisfied"": 0, ""young_evictions"": 0}","{""bound_bytes"": 1073741824, ""building_refusals"": 0, ""bytes"": 3143206, ""entries"": 1, ""evictions"": 0, ""hits"": 0, ""misses"": 1, ""oversized_admissions"": 0, ""rebuilds"": 0, ""thrashing"": false, ""young_evictions"": 0}"
5e7,8,"{""0.031"": 6, ""0.25"": 1, ""0.9375"": 1}",generator/partition-attribute,45.9,359,7.82,1015.52,2887.47,3734.63,0,16535896064,5.94,0.7593,248309281,0.05,0,48,96,"{""bound_bytes"": 2147483648, ""building_refusals"": 0, ""bytes"": 37431960, ""entries"": 9, ""evictions"": 0, ""hits"": 396, ""misses"": 9, ""oversized_admissions"": 0, ""thrashing"": false, ""waiters_now"": 0, ""waits_satisfied"": 0, ""young_evictions"": 0}","{""bound_bytes"": 1073741824, ""building_refusals"": 0, ""bytes"": 11237186, ""entries"": 3, ""evictions"": 0, ""hits"": 6, ""misses"": 3, ""oversized_admissions"": 0, ""rebuilds"": 0, ""thrashing"": false, ""young_evictions"": 0}"
5e7,32,"{""0.031"": 24, ""0.25"": 6, ""0.9375"": 2}",generator/partition-attribute,48.82,345,7.07,6046.48,9397.3,10036.5,0,23603511296,10.32,1.4602,232942616,0.23,0,48,96,"{""bound_bytes"": 2147483648, ""building_refusals"": 0, ""bytes"": 162133368, ""entries"": 41, ""evictions"": 0, ""hits"": 709, ""misses"": 41, ""oversized_admissions"": 0, ""thrashing"": false, ""waiters_now"": 0, ""waits_satisfied"": 0, ""young_evictions"": 0}","{""bound_bytes"": 1073741824, ""building_refusals"": 0, ""bytes"": 11237186, ""entries"": 3, ""evictions"": 0, ""hits"": 38, ""misses"": 3, ""oversized_admissions"": 0, ""rebuilds"": 0, ""thrashing"": false, ""young_evictions"": 0}"
5e7,128,"{""0.031"": 95, ""0.25"": 25, ""0.9375"": 8}",generator/partition-attribute,69.03,240,3.48,36604.09,60302.6,60614.03,170,42550321152,7.77,2.2358,120105768,1.02,170,48,96,"{""bound_bytes"": 2147483648, ""building_refusals"": 0, ""bytes"": 664085252, ""entries"": 169, ""evictions"": 0, ""hits"": 821, ""misses"": 169, ""oversized_admissions"": 0, ""thrashing"": false, ""waiters_now"": 0, ""waits_satisfied"": 0, ""young_evictions"": 0}","{""bound_bytes"": 1073741824, ""building_refusals"": 0, ""bytes"": 11237186, ""entries"": 3, ""evictions"": 0, ""hits"": 166, ""misses"": 3, ""oversized_admissions"": 0, ""rebuilds"": 0, ""thrashing"": false, ""young_evictions"": 0}"
