scale,stage,query,candidate,cardinality,ms
2422486,s0-build,archive_eq,masked,88489,0.037
2422486,s0-build,archive_eq,artefact,505898,0.034
2422486,s0-build,archive_in3,masked,180245,0.245
2422486,s0-build,archive_in3,artefact,1284343,0.220
2422486,s0-build,primary_eq,masked,3798,0.147
2422486,s0-build,primary_eq,artefact,131387,2.050
2422486,s0-build,secondary_eq,masked,73641,0.014
2422486,s0-build,secondary_eq,artefact,73641,0.011
2422486,s0-build,author_eq,masked,4295,0.458
2422486,s0-build,author_eq,artefact,30669,3.707
2422486,s0-build,author_prefix,masked,5807,0.845
2422486,s0-build,author_prefix,artefact,40646,6.852
2422486,s0-build,author_contains,masked,15291,0.662
2422486,s0-build,author_contains,artefact,112069,4.843
2422486,s0-build,ts_range_closed,masked,44010,0.260
2422486,s0-build,ts_range_closed,artefact,605668,2.286
2422486,s0-build,ts_range_open,masked,76113,0.256
2422486,s0-build,ts_range_open,artefact,605579,1.830
2422486,s0-build,composed,masked,21997,0.238
2422486,s1-flushed,archive_eq,masked,89214,0.122
2422486,s1-flushed,archive_eq,artefact,506623,0.117
2422486,s1-flushed,archive_in3,masked,209724,0.749
2422486,s1-flushed,archive_in3,artefact,1313822,0.773
2422486,s1-flushed,primary_eq,masked,27957,0.518
2422486,s1-flushed,primary_eq,artefact,155546,2.361
2422486,s1-flushed,secondary_eq,masked,73692,0.484
2422486,s1-flushed,secondary_eq,artefact,73692,0.467
2422486,s1-flushed,author_eq,masked,4641,0.641
2422486,s1-flushed,author_eq,artefact,31015,3.910
2422486,s1-flushed,author_prefix,masked,6686,1.241
2422486,s1-flushed,author_prefix,artefact,41525,7.381
2422486,s1-flushed,author_contains,masked,17129,0.821
2422486,s1-flushed,author_contains,artefact,113907,5.057
2422486,s1-flushed,ts_range_closed,masked,44010,0.347
2422486,s1-flushed,ts_range_closed,artefact,605668,2.479
2422486,s1-flushed,ts_range_open,masked,76113,0.353
2422486,s1-flushed,ts_range_open,artefact,605579,1.907
2422486,s1-flushed,composed,masked,21997,0.350
2422486,s2-coalesced,archive_eq,masked,89214,0.132
2422486,s2-coalesced,archive_eq,artefact,506623,0.105
2422486,s2-coalesced,archive_in3,masked,209724,0.656
2422486,s2-coalesced,archive_in3,artefact,1313822,0.643
2422486,s2-coalesced,primary_eq,masked,27957,0.429
2422486,s2-coalesced,primary_eq,artefact,155546,2.131
2422486,s2-coalesced,secondary_eq,masked,73692,0.566
2422486,s2-coalesced,secondary_eq,artefact,73692,0.531
2422486,s2-coalesced,author_eq,masked,4641,0.584
2422486,s2-coalesced,author_eq,artefact,31015,3.709
2422486,s2-coalesced,author_prefix,masked,6686,1.223
2422486,s2-coalesced,author_prefix,artefact,41525,7.247
2422486,s2-coalesced,author_contains,masked,17129,0.823
2422486,s2-coalesced,author_contains,artefact,113907,4.843
2422486,s2-coalesced,ts_range_closed,masked,44010,0.351
2422486,s2-coalesced,ts_range_closed,artefact,605668,1.878
2422486,s2-coalesced,ts_range_open,masked,76113,0.336
2422486,s2-coalesced,ts_range_open,artefact,605579,1.830
2422486,s2-coalesced,composed,masked,21997,0.299
2422486,s3-folded,archive_eq,masked,88497,0.052
2422486,s3-folded,archive_eq,artefact,502625,0.044
2422486,s3-folded,archive_in3,masked,208084,0.243
2422486,s3-folded,archive_in3,artefact,1303459,0.224
2422486,s3-folded,primary_eq,masked,27750,0.507
2422486,s3-folded,primary_eq,artefact,154358,2.294
2422486,s3-folded,secondary_eq,masked,73113,0.018
2422486,s3-folded,secondary_eq,artefact,73113,0.014
2422486,s3-folded,author_eq,masked,4604,0.794
2422486,s3-folded,author_eq,artefact,30768,4.114
2422486,s3-folded,author_prefix,masked,6633,1.246
2422486,s3-folded,author_prefix,artefact,41185,6.788
2422486,s3-folded,author_contains,masked,16988,0.879
2422486,s3-folded,author_contains,artefact,113040,5.102
2422486,s3-folded,ts_range_closed,masked,43666,0.578
2422486,s3-folded,ts_range_closed,artefact,600891,4.320
2422486,s3-folded,ts_range_open,masked,75511,0.612
2422486,s3-folded,ts_range_open,artefact,600817,3.613
2422486,s3-folded,composed,masked,21825,0.385
