scale,event,index,wall_ms,attrs_bytes,attrs_files,extents,extent_bytes,rss_bytes
2422486,build,0,5872,68964251,9,0,0,390279168
2422486,flush,0,34.0,69021307,19,5,57056,454049792
2422486,flush,1,30.4,69079141,29,10,114890,454758400
2422486,flush,2,30.1,69137225,39,15,172974,455061504
2422486,flush,3,33.7,69195179,49,20,230928,456486912
2422486,flush,4,30.1,69252905,59,25,288654,457707520
2422486,flush,5,30.2,69311361,69,30,347110,457826304
2422486,flush,6,30.3,69369715,79,35,405464,457945088
2422486,flush,7,32.3,69427751,89,40,463500,460242944
2422486,flush,8,30.5,69486055,99,45,521804,460353536
2422486,flush,9,30.2,69544599,109,50,580348,460472320
2422486,flush,10,30.4,69603235,119,55,638984,460484608
2422486,flush,11,30.0,69661897,129,60,697646,460595200
2422486,flush,12,30.3,69720617,139,65,756366,460713984
2422486,flush,13,34.4,69778939,149,70,814688,460791808
2422486,flush,14,34.0,69837473,159,75,873222,465453056
2422486,flush,15,31.0,69896015,169,80,931764,465571840
2422486,flush,16,31.1,69954569,179,85,990318,465641472
2422486,flush,17,30.5,70013089,189,90,1048838,465752064
2422486,flush,18,32.8,70071473,199,95,1107222,465862656
2422486,flush,19,35.0,70129941,209,100,1165690,465969152
2422486,flush,20,30.1,70188259,219,105,1224008,466079744
2422486,flush,21,30.3,70246437,229,110,1282186,466198528
2422486,flush,22,31.3,70304667,239,115,1340416,466825216
2422486,flush,23,37.4,70363287,249,120,1399036,466935808
2422486,flush,24,38.7,70421723,259,125,1457472,467046400
2422486,flush,25,35.7,70480521,269,130,1516270,467013632
2422486,flush,26,30.4,70539147,279,135,1574896,467124224
2422486,flush,27,39.8,70597729,289,140,1633478,467435520
2422486,flush,28,41.9,70656467,299,145,1692216,476078080
2422486,flush,29,34.8,70715173,309,150,1750922,476188672
2422486,flush,30,30.6,70774051,319,155,1809800,476299264
2422486,flush,31,34.9,70832767,329,160,1868516,476397568
2422486,flush,32,39.1,70891279,339,165,1927028,476508160
2422486,flush,33,30.6,70949763,349,170,1985512,476618752
2422486,flush,34,34.7,71008567,359,175,2044316,477044736
2422486,flush,35,39.2,71067265,369,180,2103014,477155328
2422486,flush,36,39.3,71125707,379,185,2161456,477282304
2422486,flush,37,44.1,71184379,389,190,2220128,477380608
2422486,flush,38,30.3,71243297,399,195,2279046,477491200
2422486,flush,39,35.5,71301931,409,200,2337680,477609984
2422486,flush,40,39.6,71360363,419,205,2396112,477515776
2422486,flush,41,38.6,71419089,429,210,2454838,477626368
2422486,flush,42,35.1,71477803,439,215,2513552,477736960
2422486,flush,43,56.0,71536567,449,220,2572316,478040064
2422486,flush,44,30.5,71595171,459,225,2630920,478150656
2422486,flush,45,30.8,71653843,469,230,2689592,478269440
2422486,flush,46,39.1,71712309,479,235,2748058,478105600
2422486,flush,47,38.3,71770927,489,240,2806676,478236672
2422486,flush,48,38.5,71829685,499,245,2865434,478347264
2422486,flush,49,30.8,71888607,509,250,2924356,478552064
2422486,flush,50,30.7,71947355,519,255,2983104,478662656
2422486,flush,51,41.3,72006203,529,260,3041952,479170560
2422486,flush,52,31.8,72065137,539,265,3100886,479219712
2422486,flush,53,39.1,72123931,549,270,3159680,479354880
2422486,flush,54,35.0,72182839,559,275,3218588,479891456
2422486,flush,55,37.1,72241443,569,280,3277192,480157696
2422486,flush,56,30.6,72300031,579,285,3335780,480276480
2422486,flush,57,47.3,72358725,589,290,3394474,497479680
2422486,flush,58,31.3,72417257,599,295,3453006,497274880
2422486,flush,59,34.2,72476183,609,300,3511932,497385472
2422486,flush,60,38.4,72534879,619,305,3570628,497504256
2422486,flush,61,39.0,72593395,629,310,3629144,497659904
2422486,flush,62,30.6,72651771,639,315,3687520,497778688
2422486,flush,63,31.1,72710075,649,320,3745824,497901568
2422486,coalesce,1,65.8,73150973,659,285,3723222,521764864
2422486,coalesce,2,25.3,73971187,669,250,3692816,521592832
2422486,coalesce,3,50.6,75169257,679,215,3661708,521326592
2422486,coalesce,4,50.6,76746335,689,180,3630686,521007104
2422486,coalesce,5,50.6,78705521,699,145,3601996,520724480
2422486,coalesce,6,45.6,81049943,709,110,3576694,520507392
2422486,coalesce,7,65.8,83773949,719,75,3545474,520241152
2422486,coalesce,8,65.7,86878243,729,40,3514338,519954432
2422486,coalesce,9,70.8,90361225,739,5,3482982,519663616
2422486,fold,0,1258,72733547,13,0,0,499113984
