scale,stage,open_ms,attrs_bytes,attrs_files,extent_files,rss_after_open_bytes,rss_after_scan_bytes,layers_archive,layers_author
25000000,s0-build,57.214,703309478,9,0,391368704,391434240,1,1
25000000,s1-flushed,63.256,707110458,649,320,395825152,395825152,65,65
25000000,s2-coalesced,58.361,724901568,739,5,393883648,393883648,2,2
25000000,s3-folded,60.107,707306912,13,0,393580544,393580544,1,1
