scale,pass,elapsed_ms,rss_bytes,anon_bytes
2422486,entry,0.0,520818688,402780160
2422486,1 row space,260.4,521490432,403451904
2422486,2 postings,83.4,524500992,406200320
2422486,3 external ids,271.8,534528000,416227328
2422486,4a attributes,417.4,534528000,416227328
2422486,5 digests + fsync,161.5,534528000,416227328
