n,mean_values,domain,candidate,candidates,operator,layout,ms,ns_per_candidate,hits,bytes,needle_members
10000000,5,400000,contiguous-1pct,100000,none_of,csr,1.383,13.83,99412,240035756,57888
10000000,5,400000,contiguous-1pct,100000,none_of,postings,0.469,4.69,99412,326146540,57888
10000000,5,400000,contiguous-1pct,100000,none_of,pairs,1.623,16.23,99412,400071504,57888
10000000,5,400000,contiguous-25pct,2500000,any_of,csr,25.881,10.35,14325,240035756,57888
10000000,5,400000,contiguous-25pct,2500000,any_of,postings,0.566,0.23,14325,326146540,57888
10000000,5,400000,contiguous-25pct,2500000,any_of,pairs,32.269,12.91,14325,400071504,57888
10000000,5,400000,contiguous-25pct,2500000,all_of,csr,22.127,8.85,15,240035756,46969
10000000,5,400000,contiguous-25pct,2500000,all_of,postings,0.052,0.02,15,326146540,46969
10000000,5,400000,contiguous-25pct,2500000,all_of,pairs,31.242,12.50,15,400071504,46969
10000000,5,400000,contiguous-25pct,2500000,none_of,csr,34.703,13.88,2485675,240035756,57888
10000000,5,400000,contiguous-25pct,2500000,none_of,postings,0.493,0.20,2485675,326146540,57888
10000000,5,400000,contiguous-25pct,2500000,none_of,pairs,40.303,16.12,2485675,400071504,57888
10000000,5,400000,blocked-1pct,131072,any_of,csr,1.334,10.18,742,240035756,57888
10000000,5,400000,blocked-1pct,131072,any_of,postings,0.446,3.40,742,326146540,57888
10000000,5,400000,blocked-1pct,131072,any_of,pairs,1.658,12.65,742,400071504,57888
10000000,5,400000,blocked-1pct,131072,all_of,csr,1.133,8.64,0,240035756,46969
10000000,5,400000,blocked-1pct,131072,all_of,postings,0.041,0.31,0,326146540,46969
10000000,5,400000,blocked-1pct,131072,all_of,pairs,1.636,12.48,0,400071504,46969
10000000,5,400000,blocked-1pct,131072,none_of,csr,1.790,13.65,130330,240035756,57888
10000000,5,400000,blocked-1pct,131072,none_of,postings,0.458,3.49,130330,326146540,57888
10000000,5,400000,blocked-1pct,131072,none_of,pairs,2.099,16.02,130330,400071504,57888
10000000,5,400000,blocked-25pct,2528896,any_of,csr,25.828,10.21,14627,240035756,57888
10000000,5,400000,blocked-25pct,2528896,any_of,postings,0.448,0.18,14627,326146540,57888
10000000,5,400000,blocked-25pct,2528896,any_of,pairs,32.329,12.78,14627,400071504,57888
10000000,5,400000,blocked-25pct,2528896,all_of,csr,21.992,8.70,14,240035756,46969
10000000,5,400000,blocked-25pct,2528896,all_of,postings,0.033,0.01,14,326146540,46969
10000000,5,400000,blocked-25pct,2528896,all_of,pairs,32.313,12.78,14,400071504,46969
10000000,5,400000,blocked-25pct,2528896,none_of,csr,34.798,13.76,2514269,240035756,57888
10000000,5,400000,blocked-25pct,2528896,none_of,postings,0.582,0.23,2514269,326146540,57888
10000000,5,400000,blocked-25pct,2528896,none_of,pairs,40.794,16.13,2514269,400071504,57888
10000000,5,400000,scattered-1pct,100031,any_of,csr,9.116,91.13,527,240035756,57888
10000000,5,400000,scattered-1pct,100031,any_of,postings,0.557,5.56,527,326146540,57888
10000000,5,400000,scattered-1pct,100031,any_of,pairs,47.362,473.47,527,400071504,57888
10000000,5,400000,scattered-1pct,100031,all_of,csr,4.478,44.77,0,240035756,46969
10000000,5,400000,scattered-1pct,100031,all_of,postings,0.041,0.41,0,326146540,46969
10000000,5,400000,scattered-1pct,100031,all_of,pairs,47.382,473.67,0,400071504,46969
10000000,5,400000,scattered-1pct,100031,none_of,csr,8.438,84.36,99504,240035756,57888
